OBJECTID,All_Bridges_2008April_BDEPT,All_Bridges_2008April_BIN,All_Bridges_2008April_Health_Index,All_Bridges_2008April_Item_6A,All_Bridges_2008April_Item_7,All_Bridges_2008April_Item___8_Bridge_Cat,All_Bridges_2008April_Item___8_Owner,All_Bridges_2008April_Item__16A,All_Bridges_2008April_Item__16B,All_Bridges_2008April_Item__16C,All_Bridges_2008April_Item__17A,All_Bridges_2008April_Item__17B,All_Bridges_2008April_Item__17C,All_Bridges_2008April_Item__26,All_Bridges_2008April_Item__28A,All_Bridges_2008April_Item__29,All_Bridges_2008April_Item__49,All_Bridges_2008April_Item__52,All_Bridges_2008April_Item__58,All_Bridges_2008April_Item_104,All_Bridges_2008April_Posting_2_Axle,All_Bridges_2008April_Posting_3_Axle,All_Bridges_2008April_Posting_5_Axle,All_Bridges_2008April_Struct_Def,All_Bridges_2008April_Town_Name,All_Bridges_2008April_RPA
125,L10011,2EY,0.5668,HWY   LINCOLN ST,I  95 /ST128,NBI,MHD,42,26,8.080800056,71,15,35.8956,11,8,181000,41.8,43,5,TRUE,0,0,0,FALSE,Lexington,MAPC
126,R03008,2F0,0.7425,ST 28 MAIN ST,I  95 /ST128,NBI,MHD,42,30,12.8448,71,6,9.5688,12,8,153000,28,46.4,6,TRUE,0,0,0,FALSE,Reading,MAPC
127,W04029,2F1,0.670000076,WATER STONY BROOK,I  95 /ST128,NBI,MHD,42,21,49.04639816,71,16,15.1788,11,8,185000,8.8,43.3,N,TRUE,0,0,0,FALSE,Waltham,MAPC
128,W04026,2F2,0.9736,RR    MBTA/BMRR,I  95 /ST128,NBI,MHD,42,22,2.773200035,71,16,12.8028,12,9,185000,69.2,45.5,5,TRUE,0,0,0,FALSE,Waltham,MAPC
129,W29024,2F3,0.9163,OTHER MDC AQUEDUCT,I  95 /ST128,NBI,MHD,42,20,46.12200165,71,15,47.0376,11,8,168000,12.5,47.5,7,TRUE,0,0,0,FALSE,Weston,MAPC
130,W29018,2F4,0.6474,HWY   NORUMBEGA RD,I  95 /ST128,NBI,MHD,42,20,41.88119888,71,15,48.5676,12,9,168000,16.2,38.1,6,TRUE,0,0,0,FALSE,Weston,MAPC
131,W43031,2F6,0.6815,ST 38 WB/MAIN ST,I  95 NB/ST128 NB,NBI,MHD,42,29,57.64920044,71,9,23.904,11,4,161600,21.6,20.9,N,TRUE,0,0,0,FALSE,Woburn,MAPC
132,W43031,2F7,0.6817,ST 38 WB/MAIN ST,I  95 SB/ST128 SB,NBI,MHD,42,29,58.3404007,71,9,24.0084,11,4,161600,21.6,20.9,N,TRUE,0,0,0,FALSE,Woburn,MAPC
133,W43022,2F8,0.7056,ST 38 EB/MAIN ST,I  95 NB/ST128 NB,NBI,MHD,42,29,56.76720047,71,9,31.1328,11,4,175700,37.5,26.8,6,TRUE,0,0,0,FALSE,Woburn,MAPC
134,W43022,2F9,0.7199,ST 38 EB/MAIN ST,I  95 SB/ST128 SB,NBI,MHD,42,29,57.47639847,71,9,31.0788,11,4,175700,37.5,20.7,6,TRUE,0,0,0,FALSE,Woburn,MAPC
135,W43024,2FA,0.8131,HWY   FOREST PARK RD,I  95 NB/ST128 NB,NBI,MHD,42,30,1.537199974,71,8,56.0328,11,4,177000,41.1,20.9,6,TRUE,0,0,0,FALSE,Woburn,MAPC
136,W43024,2FB,0.6857,HWY   FOREST PARK RD,I  95 SB/ST128 SB,NBI,MHD,42,30,2.203200102,71,8,56.3028,11,4,177000,41.1,20.9,6,TRUE,0,0,0,FALSE,Woburn,MAPC
137,W43026,2FC,0.5116,RR    MBTA/BMRR,I  95 /ST128,NBI,MHD,42,30,6.703199863,71,8,12.6528,11,8,175000,37.8,44.9,5,TRUE,0,0,0,FALSE,Woburn,MAPC
138,L19011,2FD,0.9803,HWY   MAIN ST,I  95 /ST128,NBI,MHD,42,31,33.24000168,71,3,59.9292,11,8,126000,15.2,54.4,N,TRUE,0,0,0,FALSE,Lynnfield,MAPC
139,W01013,2FE,0.6292,RR    BMRR/MBTA,I  95 /ST128,NBI,MHD,42,31,21.60479927,71,3,32.4612,11,6,134700,7.3,47.7,N,TRUE,0,0,0,FALSE,Wakefield,MAPC
140,W01020,2FF,0.7438,HWY   PARKER RD,I  95 /ST128,NBI,MHD,42,30,37.0583992,71,5,34.4148,11,6,132700,18,45.1,7,TRUE,0,0,0,FALSE,Wakefield,MAPC
141,W01019,2FG,0.9103,RR    MBTA/BMRR,I  95 /ST128,NBI,MHD,42,30,51.28559875,71,5,27.7728,16,6,134900,19.8,46.1,6,TRUE,0,0,0,FALSE,Wakefield,MAPC
142,W01018,2FH,0.9015,HWY   NORTH AVE,I  95 /ST128,NBI,MHD,42,30,59.88600159,71,5,23.6292,11,6,133200,22.3,45.1,6,TRUE,0,0,0,FALSE,Wakefield,MAPC
143,W01008,2FJ,0.9824,HWY   PLEASURE ISLAND RD,I  95 /ST128,NBI,MHD,42,30,47.44440079,71,2,30.2208,11,6,132700,15.8,34.1,N,TRUE,0,0,0,FALSE,Wakefield,MAPC
144,W01016,2FK,0.7658,ST129 EB LOWELL ST,I  95 /ST128,NBI,MHD,42,31,28.1352005,71,4,56.3664,11,8,135200,22.6,46.9,5,TRUE,0,0,0,FALSE,Wakefield,MAPC
145,W01015,2FL,0.7593,ST129 WB  MAIN ST,I  95 /ST128,NBI,MHD,42,31,32.33280182,71,4,48.3564,11,6,135200,20.4,46.9,5,TRUE,0,0,0,FALSE,Wakefield,MAPC
146,N12059,2FM,0.5567,HWY   QUINOBEQUIN RD,I  95 ST128,NBI,MHD,42,19,32.91239929,71,15,2.0628,11,10,158200,29,44.6,6,TRUE,0,0,0,FALSE,Newton,MAPC
147,N12054,2FN,0.8065,WATER CHARLES RIVER,I  95 /ST128,NBI,MHD,42,19,24.54599953,71,14,59.0928,11,8,170000,55.8,45.4,6,TRUE,0,0,0,FALSE,Newton,MAPC
148,N12063,2FP,0.7155,WATER CHARLES RIVER,I  95 /ST128,NBI,MHD,42,20,11.95800018,71,15,32.9256,11,8,160000,38.1,44.5,6,TRUE,0,0,0,FALSE,Newton,MAPC
149,W13023,2FQ,0.9414,ST  9 WORCESTER ST,I  95 NB/ST128 NB,NBI,MHD,42,18,59.34960175,71,14,3.2352,11,5,86000,43.9,22.4,4,TRUE,0,0,0,TRUE,Wellesley,MAPC
150,B29006,2G2,0.6759,I  95 /ST128 & CD,US  3 SB,NBI,MHD,42,28,35.47919846,71,13,13.8576,12,2,84100,86.6,14.1,7,TRUE,0,0,0,FALSE,Burlington,MAPC
151,B29006,2G3,0.730200861,I  95 /ST128 & CD,US  3 NB,NBI,MHD,42,28,35.47919846,71,13,13.8576,12,1,84100,86.6,14.1,7,TRUE,0,0,0,FALSE,Burlington,MAPC
152,C19018,2GR,0.7201,WATER NASHOBA BROOK,ST  2,NBI,MHD,42,28,8.868000031,71,24,26.3988,14,4,59600,8.5,30.5,7,TRUE,20,23,40,FALSE,Concord,MAPC
153,Q01049,2GT,0.8906,RR    CSX SPUR TO LEDGER,ST  3 RPS CC&C&X&Y,NBI,MHD,42,31,36,71,1,12,14,8,24100,22.6,59.4,7,TRUE,0,0,0,FALSE,Quincy,MAPC
154,Q01051,2GU,0.7287,OTHER RELIEF,ST  3 RAMP Y @ T,NBI,MHD,42,31,36,71,1,12,14,2,6600,150.3,9.5,7,TRUE,0,0,0,FALSE,Quincy,MAPC
155,Q01051,2GV,0.7238,HWY   RAMPS C & CC,ST  3 RAMP X @ T,NBI,MHD,42,31,36,71,1,12,14,1,4800,194.5,7.7,7,TRUE,0,0,0,FALSE,Quincy,MAPC
156,M12035,2HH,0.9998,ST 28 FELLSWAY WST,I  93 NB,NBI,MHD,42,26,54.45240021,71,6,17.8632,11,5,169000,27.1,25.1,6,TRUE,0,0,0,FALSE,Medford,MAPC
157,M12035,2HJ,0.7446,ST 28 FELLSWAY WST,I  93 SB,NBI,MHD,42,26,55.06800079,71,6,18.6372,11,5,169000,27.1,25,6,TRUE,0,0,0,FALSE,Medford,MAPC
158,R03011,2HK,0.6681,I  95 /ST128,I  93,NBI,MHD,42,30,7.90199995,71,7,8.6556,11,8,168800,75.6,52.5,7,TRUE,0,0,0,FALSE,Reading,MAPC
159,R03010,2HL,0.6609,HWY   WEST ST,I  93,NBI,MHD,42,30,32.74200058,71,7,25.9284,11,8,148700,48.2,47.2,8,TRUE,0,0,0,FALSE,Reading,MAPC
160,S27004,2HM,0.6237,RR    BMRR SPUR (ABAND),I  93,NBI,MHD,42,28,42.57120132,71,6,51.7608,11,8,168800,9.4,49.7,6,TRUE,0,0,0,FALSE,Stoneham,MAPC
161,S27007,2HN,0.8946,HWY   BORDER RD ACCESS,I  93,NBI,MHD,42,28,8.043600082,71,6,27.0396,11,8,180500,39,50.6,5,TRUE,0,0,0,FALSE,Stoneham,MAPC
162,W38028,2HR,0.4584,RR    MBTA/BMRR,I  93 NB,NBI,MHD,42,32,27.80520058,71,8,7.4472,11,5,66900,29,22.6,6,TRUE,0,0,0,FALSE,Wilmington,MAPC
163,W38028,2HT,0.4676,RR    MBTA/BMRR,I  93 SB,NBI,MHD,42,32,28.80960083,71,8,8.3976,11,4,66900,28,22.6,6,TRUE,0,0,0,FALSE,Wilmington,MAPC
164,W38026,2HU,0.6458,WATER IPSWICH RIVER,I  93 NB,NBI,MHD,42,33,9.270000458,71,8,16.926,11,4,133800,12.5,24.4,5,TRUE,0,0,0,FALSE,Wilmington,MAPC
165,W38026,2HV,0.6713,WATER IPSWICH RIVER,I  93 SB,NBI,MHD,42,33,9.536399841,71,8,18.0204,11,4,133800,12.5,24.4,7,TRUE,0,0,0,FALSE,Wilmington,MAPC
166,W38031,2HW,0.8674,HWY   CONCORD ST,I  93,NBI,MHD,42,33,29.5991993,71,8,28.0536,11,8,146800,44.8,52.5,5,TRUE,0,0,0,FALSE,Wilmington,MAPC
167,W38036,2HX,0.6482,RR    MBTA/BMRR,I  93 SB,NBI,MHD,42,35,31.91279984,71,10,1.2468,11,4,73400,23.2,21.1,6,TRUE,0,0,0,FALSE,Wilmington,MAPC
168,W38037,2HY,0.6992,RR    MBTA/BMRR,I  93 NB,NBI,MHD,42,35,36.50279999,71,10,0.5304,11,4,73400,21.3,21.1,6,TRUE,0,0,0,FALSE,Wilmington,MAPC
169,W43039,2J0,0.8515,RR    BMRR SPUR (ABAND),I  93 NB OFF RMP,NBI,MHD,42,28,42.6216011,71,6,51.426,12,2,19400,8.7,18.3,5,TRUE,0,0,0,FALSE,Woburn,MAPC
170,W43037,2J1,0.6134,RR    BMRR SPUR (ABAND),I  93,NBI,MHD,42,28,42.46319962,71,6,52.8948,11,8,168800,10.8,48.6,6,TRUE,0,0,0,FALSE,Woburn,MAPC
171,W43040,2J2,0.6321,RR    BMRR SPUR (ABAND),I  93 SB ON RAMP,NBI,MHD,42,28,42.41640091,71,6,53.2116,12,1,11600,10.8,9.8,5,TRUE,0,0,0,FALSE,Woburn,MAPC
172,W43036,2J3,0.6892,HWY   MONTVALE AVE,I  93,NBI,MHD,42,28,48.29880142,71,6,55.7676,12,8,169000,54.9,51.6,6,TRUE,0,0,0,FALSE,Woburn,MAPC
173,Q01046,2J8,0.8439,ST 28 RANDOLPH RD,I  93 SB/US1NB,NBI,MHD,42,12,20.81159973,71,3,56.4084,12,5,102200,52.7,22,7,TRUE,0,0,0,FALSE,Quincy,MAPC
174,W43041,2KH,0.759,WATER ABERJONA RIVER,HWY   MONTVALE AVE,NBI,MHD,42,28,47.04959869,71,7,6.7764,12,4,41000,8.5,23.9,7,TRUE,0,0,0,FALSE,Woburn,MAPC
175,B16177,2KY,1,WATER CHARLES RIVER,ST109 SPRING ST,NBI,MHD,42,16,14.12040043,71,10,25.4136,14,3,44100,38.1,17.5,N,TRUE,0,0,0,FALSE,Boston,MAPC
176,S27006,2L2,0.7521,I  93,ST 28 FELLSWAY W,NBI,MHD,42,27,32.67720032,71,6,9.0036,16,2,13700,124.1,15.8,5,TRUE,0,0,0,FALSE,Stoneham,MAPC
177,N12058,2LH,0.8551,WATER CHARLES RIVER,ST128 SERVICE RD,NBI,MHD,42,20,15.19439983,71,15,28.1484,11,3,42000,62.8,30.7,4,TRUE,0,0,0,TRUE,Newton,MAPC
178,W29032,2MA,0.6822,OTHER MDC AQUEDUCT,I  90 EB OFF RAMP,NBI,MHD,42,20,42,71,15,48,11,2,36200,8.5,41.5,5,TRUE,0,0,0,FALSE,Weston,MAPC
179,W04015,2NH,0.7677,RR    MBTA/BMRR,US 20 MAIN ST,634,MHD,42,22,38.94240189,71,13,28.8912,14,4,63900,71.3,25.9,5,TRUE,0,0,0,FALSE,Waltham,MAPC
180,W43002,2P0,0.9791,RR    MBTA/BMRR,HWY   MONTVALE AVE,634,MHD,42,28,48.5904007,71,7,37.9992,14,2,33300,19.5,16.7,7,TRUE,0,0,0,FALSE,Woburn,MAPC
181,W13006,2P3,0.9258,RR    CSX/MBTA,ST  9 WORCESTER ST,634,MHD,42,18,43.90919876,71,16,36.318,14,4,54000,28.3,23.8,8,TRUE,0,0,0,FALSE,Wellesley,MAPC
182,S01017,32V,0.6701,RR    MBTA (MAIN LINE),ST107 BRIDGE ST,634,MHD,42,31,25.52519989,70,53,48.9624,14,2,20000,11,36.1,N,TRUE,0,0,0,FALSE,Salem,MAPC
183,L19006,2TK,0.9901,I  95 /ST128,US  1 NEWBRPRT TPK,NBI,MHD,42,30,59.24520111,71,0,6.7428,14,8,156700,81.7,41.5,4,TRUE,0,0,0,TRUE,Lynnfield,MAPC
184,S05001,2TL,0.6507,WATER SAUGUS RIVER,US  1 BROADWAY,NBI,MHD,42,28,57.48960114,71,1,13.2672,14,8,83800,7.9,40.5,5,TRUE,0,0,0,FALSE,Saugus,MAPC
185,B11009,2TW,1,ST 97 CABOT ST,ST128,NBI,MHD,42,34,26.38559914,70,53,45.3912,12,5,67300,18.9,26.3,N,TRUE,0,0,0,FALSE,Beverly,MAPC
186,B11010,2TX,0.9963,ST  1 A/DODGE ST,ST128,NBI,MHD,42,34,28.04159927,70,53,33.468,12,5,67300,25.3,26.8,N,TRUE,0,0,0,FALSE,Beverly,MAPC
187,B11011,2TY,0.906,COMB  MBTA & TOZER RD,ST128,NBI,MHD,42,34,30.85320091,70,53,6.5508,12,6,69000,36.3,31.1,5,TRUE,0,0,0,FALSE,Beverly,MAPC
188,D03018,2U0,0.7011,WATER WATERS RIVER,ST128,NBI,MHD,42,32,49.17480087,70,56,12.4944,12,4,97500,18.9,29,4,TRUE,0,0,0,TRUE,Danvers,MAPC
189,D03019,2U1,0.4536,WATER CRANE RIVER,ST128,NBI,MHD,42,33,21.74760056,70,55,54.2316,12,6,67300,10.4,27.1,N,TRUE,0,0,0,FALSE,Danvers,MAPC
190,D03020,2U2,0.7435,RR    MBTA/BMRR,ST128,NBI,MHD,42,33,24.7859993,70,55,50.5776,12,4,70000,26.2,25.6,4,TRUE,0,0,0,TRUE,Danvers,MAPC
191,D03021,2U3,0.9723,ST 35 HIGH ST,ST128,NBI,MHD,42,33,28.85040092,70,55,45.9408,12,4,67300,23.5,26,N,TRUE,0,0,0,FALSE,Danvers,MAPC
192,D03022,2U4,0.7917,WATER PORTER RIVER,ST128,NBI,MHD,42,33,36.54000092,70,55,36.4872,12,4,79500,8.5,28,6,TRUE,0,0,0,FALSE,Danvers,MAPC
193,D03025,2U5,0.9275,ST 62 ELLIOT ST,ST128,NBI,MHD,42,33,53.9640007,70,55,23.9952,12,4,67300,21.9,25.4,N,TRUE,0,0,0,FALSE,Danvers,MAPC
194,G05024,2U6,0.5362,ST133 ESSEX AVE,ST128,NBI,MHD,42,37,4.915200233,70,43,19.074,12,6,35000,22.3,25.6,N,TRUE,0,0,0,FALSE,Gloucester,MAPC
195,G05021,2U7,0.8573,HWY   CONCORD ST,ST128,NBI,MHD,42,37,26.51880074,70,42,37.062,12,6,57000,18.6,28,5,TRUE,20,25,40,FALSE,Gloucester,MAPC
196,G05017,2U8,0.831,WATER ANNISQUAM RIVER,ST128,NBI,MHD,42,37,30.78479958,70,41,23.2116,12,4,57160,262.7,20.7,6,TRUE,20,25,40,TRUE,Gloucester,MAPC
197,G05022,2U9,0.7405,HWY   MARSH ST,ST128,NBI,MHD,42,37,21.74160004,70,40,54.9444,12,4,58800,14,26.9,6,TRUE,0,0,0,FALSE,Gloucester,MAPC
198,G05025,2UA,0.6623,HWY   MAPLEWOOD AVE,ST128,NBI,MHD,42,37,23.72520065,70,40,12.5832,12,2,23500,14.9,29.6,5,TRUE,0,0,0,FALSE,Gloucester,MAPC
199,G05023,2UB,1,RR    MBTA,ST128,NBI,MHD,42,37,28.52039909,70,39,53.766,12,4,23700,10.7,29.7,8,TRUE,0,0,0,FALSE,Gloucester,MAPC
200,M02014,2UC,0.7471,HWY   PINE ST,ST128 NB,NBI,MHD,42,35,24.15839958,70,47,38.5908,12,2,41000,26.5,13.4,7,TRUE,0,0,0,FALSE,Manchester,MAPC
201,M02014,2UD,0.747,HWY   PINE ST,ST128 SB,NBI,MHD,42,35,24.15839958,70,47,38.5908,12,2,41000,26.5,13.4,7,TRUE,0,0,0,FALSE,Manchester,MAPC
202,P03015,2UE,0.9982,HWY   LOWELL ST,ST128,NBI,MHD,42,32,0.484800011,70,57,4.7772,12,4,97500,30.5,23.9,6,TRUE,0,0,0,FALSE,Peabody,MAPC
203,P03021,2UF,0.9658,HWY   ACCESS RD,ST128,NBI,MHD,42,32,14.19320011,70,56,35,12,6,97500,30.8,29.9,6,TRUE,0,0,0,FALSE,Peabody,MAPC
204,P03050,2UG,0.6641,I  95 RAMP J,I  95 /ST128,NBI,MHD,42,31,25.45680046,70,58,26.292,12,6,82100,31.4,49.9,7,TRUE,0,0,0,FALSE,Peabody,MAPC
205,D03009,2UH,0.8386,WATER IPSWICH RIVER,ST114 ANDOVER ST,NBI,MHD,42,34,25.61160088,70,59,38.2272,14,2,35850,11.6,14.9,6,TRUE,0,0,0,FALSE,Danvers,MAPC
206,M20010,2UK,0.9791,WATER SWAN POND OTLT,ST114 N MAIN ST,NBI,MHD,42,36,10.41839981,71,1,42.5928,14,2,32100,14.9,16.5,6,TRUE,11,14,21,FALSE,Middleton,MAPC
207,P03016,2UM,0.8698,ST128,ST114 ANDOVER ST,NBI,MHD,42,32,22.91279984,70,56,17.9052,14,4,44900,26.2,20.2,5,TRUE,0,0,0,FALSE,Peabody,MAPC
208,S01001,2UN,0.190000075,WATER NORTH RIVER,ST114 NORTH ST,NBI,MHD,42,31,28.53479958,70,53,59.5068,14,4,41500,7.3,0,N,TRUE,0,0,0,TRUE,Salem,MAPC
209,D03031,2VE,0.7901,ST114 ANDOVER ST,I  95 SB,NBI,MHD,42,33,34.65719986,70,58,30.0288,11,3,57000,42.7,21,6,TRUE,0,0,0,FALSE,Danvers,MAPC
210,D03031,2VF,0.7901,ST114 ANDOVER ST,I  95 NB,NBI,MHD,42,33,34.4844017,70,58,29.1144,11,3,57000,42.7,21,6,TRUE,0,0,0,FALSE,Danvers,MAPC
211,D03033,2VG,0.78,ST 62 MAPLE ST,I  95 NB,NBI,MHD,42,34,54.95880127,70,57,53.5068,11,4,57000,38.4,21,6,TRUE,0,0,0,FALSE,Danvers,MAPC
212,D03033,2VH,0.7682,ST 62 MAPLE ST,I  95 SB,NBI,MHD,42,34,55.39440155,70,57,54.2448,11,4,57000,39,23.8,7,TRUE,0,0,0,FALSE,Danvers,MAPC
213,P03023,2VN,0.8769,I  95 /ST128,US  1 CONN RPS A&B,NBI,MHD,42,31,8.076000214,70,59,39.0408,12,6,59400,74.1,23.5,6,TRUE,0,0,0,FALSE,Peabody,MAPC
214,P03024,2VP,0.7993,I  95 RAMP F,I  95 RAMP G,NBI,MHD,42,31,13.43280029,70,59,44.2788,12,2,22000,19.8,9.1,5,TRUE,0,0,0,FALSE,Peabody,MAPC
215,P03025,2VQ,0.843,I  95 RAMP C,I  95 RAMP D,NBI,MHD,42,31,17.86079979,70,59,41.3844,12,2,16800,13.4,9.2,5,TRUE,0,0,0,FALSE,Peabody,MAPC
216,P03026,2VR,0.9741,US  1 NEWBURY ST,I  95 RAMPS A&B,NBI,MHD,42,31,24.26880074,70,59,49.4052,12,6,35000,79.9,21.5,5,TRUE,0,0,0,FALSE,Peabody,MAPC
217,P03044,2VT,0.5855,US  1 NB/NEWBURY ST,I  95 SB CONNECTOR,NBI,MHD,42,32,33.54000092,70,59,11.3892,12,4,22800,34.1,13,6,TRUE,0,0,0,FALSE,Peabody,MAPC
218,P03040,2VU,0.7299,HWY   LOWELL ST,I  95 NB,NBI,MHD,42,32,49.61040115,70,58,57.1512,11,4,35600,23.5,21.1,6,TRUE,0,0,0,FALSE,Peabody,MAPC
219,P03040,2VV,0.7493,HWY   LOWELL ST,I  95 SB,NBI,MHD,42,32,50.14680099,70,58,57.8496,11,4,54300,23.5,21.1,6,TRUE,0,0,0,FALSE,Peabody,MAPC
220,P03036,2VW,0.7422,RR    MBTA,I  95 NB,NBI,MHD,42,32,49.20000076,70,58,57.378,11,4,35600,9.3,82.8,6,TRUE,0,0,0,FALSE,Peabody,MAPC
221,P03036,2VX,0.7402,RR    MBTA,I  95 SB,NBI,MHD,42,32,47.87519836,70,58,59.2392,11,4,54200,9.3,82.8,6,TRUE,0,0,0,FALSE,Peabody,MAPC
222,P03046,2VY,0.9591,I  95 RAMP FROM US 1 NB,I  95,NBI,MHD,42,32,30.17399979,70,59,6.378,11,6,54000,66.4,41.1,7,TRUE,0,0,0,FALSE,Peabody,MAPC
223,P03047,2W0,0.6742,I  95 RAMP E,I  95 RAMP G,NBI,MHD,42,31,27.09119987,70,58,48.1764,12,3,38800,32.6,13.9,7,TRUE,0,0,0,FALSE,Peabody,MAPC
224,P03048,2W1,0.739,ST128,I  95 RAMP G,NBI,MHD,42,31,23.85479927,70,58,42.2112,12,3,38100,83.5,13.9,7,TRUE,0,0,0,FALSE,Peabody,MAPC
225,P03049,2W2,0.7363,I  95 RAMP J,I  95 RAMP G,NBI,MHD,42,31,21.93600082,70,58,38.6688,12,3,38800,53.9,13.9,7,TRUE,0,0,0,FALSE,Peabody,MAPC
226,L19008,2W3,0.9574,WATER SAUGUS RIVER,I  95 /ST128,NBI,MHD,42,30,46.84320068,71,2,15.684,16,6,130000,11,41.5,N,TRUE,0,0,0,FALSE,Lynnfield,MAPC
227,L19004,2W4,0.8981,HWY   WALNUT ST,I  95 NB/ST128 NB,NBI,MHD,42,30,49.99319839,71,1,45.2568,11,3,73000,17.7,20.5,N,TRUE,0,0,0,FALSE,Lynnfield,MAPC
228,L19004,2W5,0.9196,HWY   WALNUT ST,I  95 SB/ST128 SB,NBI,MHD,42,30,50.65200043,71,1,45.6204,16,4,23000,17.7,20.5,N,TRUE,0,0,0,FALSE,Lynnfield,MAPC
229,L19007,2W6,0.9413,HWY   SUMMER ST,I  95 NB/ST128 NB,NBI,MHD,42,30,56.62080002,71,0,49.374,11,5,73000,18.3,20.5,N,TRUE,0,0,0,FALSE,Lynnfield,MAPC
230,L19007,2W7,0.9443,HWY   SUMMER ST,I  95 SB/ST128 SB,NBI,MHD,42,30,57.2723999,71,0,49.7844,11,5,73000,18.3,20.5,N,TRUE,0,0,0,FALSE,Lynnfield,MAPC
231,L18019,31A,0.994,WATER GLENMERE LAKE,ST107 WESTERN AVE,NBI,MHD,42,29,9.286800385,70,56,28.104,14,2,47500,158.8,15.2,7,TRUE,0,0,0,FALSE,Lynn,MAPC
232,S01017,32R,0.6706,RR    MBTA (STORAGE TUN),ST107 BRIDGE ST,634,MHD,42,31,25.93919945,70,53,46.8708,14,2,20000,57.9,93,N,TRUE,0,0,0,FALSE,Salem,MAPC
233,S01018,32T,0.4853,COMB  ST107/BRG ST&MBTA,ST114 NORTH ST,634,MHD,42,31,24.67200089,70,53,57.9768,14,4,32400,42.1,22.1,5,TRUE,20,25,36,FALSE,Salem,MAPC
234,R01006,344,0.543,ST 24 SB CURVE S,ST 24 NB CURVE G,NBI,MHD,42,12,3.596400023,71,4,44.7888,12,2,36000,26.4,13.8,5,TRUE,0,0,0,FALSE,Randolph,MAPC
235,D05042,345,0.942,I  95 NB /ST128 NB,ST109 HIGH ST,NBI,MHD,42,14,39.9659996,71,12,8.6256,14,4,31000,46.9,23.8,5,TRUE,0,0,0,FALSE,Dedham,MAPC
236,D05043,346,0.9629,I  95 SB/ST128 SB,ST109 HIGH ST,NBI,MHD,42,14,35.52360153,71,12,20.3652,14,4,31000,22.8,23.5,6,TRUE,0,0,0,FALSE,Dedham,MAPC
237,B21029,34A,0.9725,I  93,ST  3 SB,NBI,MHD,42,13,35.3064003,71,0,56.646,12,3,136000,57.9,14.4,7,TRUE,0,0,0,FALSE,Braintree,MAPC
238,D05046,34B,0.9101,I  95 SB/ST128 SB,US  1 PROVDNCE HWY,NBI,MHD,42,13,40.77840042,71,10,56.1576,14,6,85000,27,23.8,5,TRUE,0,0,0,FALSE,Dedham,MAPC
239,D05027,34C,0.5543,I  95 NB/ST128 NB,US  1 PROVDNCE HWY,NBI,MHD,42,13,41.50559998,71,10,55.848,14,6,82600,27.4,28.3,7,TRUE,0,0,0,FALSE,Dedham,MAPC
240,D05029,34D,0.6693,ST135 HIGH ST,HWY   PROVDNCE HWY,NBI,MHD,42,14,54.12120056,71,10,18.7356,14,5,54400,26,23.8,5,TRUE,0,0,0,FALSE,Dedham,MAPC
241,D05030,34E,0.5919,HWY   HARRIS ST,HWY   PROVDNCE HWY,NBI,MHD,42,14,47.68799973,71,10,21.1728,14,5,58000,21.6,23.9,4,TRUE,17,20,27,TRUE,Dedham,MAPC
242,D05033,34F,0.5638,WATER MOTHER BROOK,HWY   PROVDNCE HWY,NBI,MHD,42,15,19.07640076,71,10,15.8844,14,5,57500,29,32.7,5,TRUE,0,0,0,TRUE,Dedham,MAPC
243,B21036,34H,0.9488,HWY   LIBERTY ST,ST  3,NBI,MHD,42,12,10.90079975,70,59,7.7352,12,8,145200,19.7,36.1,6,TRUE,0,0,0,FALSE,Braintree,MAPC
244,B21035,34J,0.669999978,WATER MONATIQUOT RIVER,ST  3,NBI,MHD,42,12,23.54039955,70,59,42.2592,12,8,141000,16.5,53.1,N,TRUE,0,0,0,FALSE,Braintree,MAPC
245,B21034,34K,0.7968,HWY   UNION ST S ROTARY,ST  3,NBI,MHD,42,12,32.20920181,70,59,48.39,12,3,137000,44.5,35.4,7,TRUE,0,0,0,FALSE,Braintree,MAPC
246,B21033,34M,0.8582,HWY   UNION ST N ROTARY,ST  3,NBI,MHD,42,12,39.6935997,70,59,50.5032,12,6,135000,43.9,35.5,6,TRUE,0,0,0,FALSE,Braintree,MAPC
247,B21062,34N,0.9631,HWY   RAMP C (Q ADAMS),HWY   ON RAMP F,NBI,MHD,42,13,36,71,1,18,12,2,19600,23,9.5,7,TRUE,0,0,0,FALSE,Braintree,MAPC
248,B21025,34P,0.685,COMB  MBTA/CSX & REDS,ST  3,NBI,MHD,42,13,10.0632,71,0,2.5236,12,6,140200,36.6,36,7,TRUE,0,0,0,FALSE,Braintree,MAPC
249,B21061,34Q,0.896,HWY   RAMP C (Q ADAMS),ST  3 NB,NBI,MHD,42,13,36,71,1,18,12,3,137000,23,17.5,5,TRUE,0,0,0,FALSE,Braintree,MAPC
250,B21057,34R,0.9683,RR    MBTA,HWY   RAMP F,NBI,MHD,42,13,36,71,1,12,12,2,20900,20.4,12.2,7,TRUE,0,0,0,FALSE,Braintree,MAPC
251,B21058,34T,0.991,ST  3 SB CONNECTOR,HWY   RMP J (WASH),NBI,MHD,42,13,36,71,1,18,12,2,9800,47.8,7.7,7,TRUE,0,0,0,FALSE,Braintree,MAPC
