OBJECTID,All_Bridges_2009April_BIN,AllBridges_2009April_Boat,All_Bridges_2009April_Health_Index,All_Bridges_2009April_Item_6A,All_Bridges_2009April_Item_7,AllBridges_2009April_Item___8_Bridge_Cat,AllBridges_2009April_Item___8_Owner,AllBridges_2009April_Item__16A,AllBridges_2009April_Item__16B,AllBridges_2009April_Item__16C,AllBridges_2009April_Item__17A,AllBridges_2009April_Item__17B,AllBridges_2009April_Item__17C,All_Bridges_2009April_Item_26,AllBridges_2009April_Item__28A,All_Bridges_2009April_Item_29,AllBridges_2009April_Item__49,AllBridges_2009April_Item__52,AllBridges_2009April_Item__58,AllBridges_2009April_Item_104,AllBridges_2009April_Posting_2_Axle,All_Bridges_2009April_Posting_3_Axle,AllBridges_2009April_Posting_5_Axle,All_Bridges_2009April_Struct_Def,All_Bridges_2009April_Town_Name,AllBridges_2009April_RPA
128,2F3,NN,0.9163,OTHER MDC AQUEDUCT,I  95 /ST128,NBI,MHD,42,20,46.122,71,15,47.0376,11,8,169000,12.5,47.5,7,TRUE,0,0,0,FALSE,Weston,MAPC
129,2F4,NN,0.6474,HWY   NORUMBEGA RD,I  95 /ST128,NBI,MHD,42,20,41.8812,71,15,48.5676,12,9,169000,16.2,38.1,6,TRUE,0,0,0,FALSE,Weston,MAPC
130,2F6,NN,0.6838,ST 38 WB/MAIN ST,I  95 NB/ST128 NB,NBI,MHD,42,29,57.6492,71,9,23.904,11,4,161600,21.6,20.9,N,TRUE,0,0,0,FALSE,Woburn,MAPC
131,2F7,NN,0.9997,ST 38 WB/MAIN ST,I  95 SB/ST128 SB,NBI,MHD,42,29,58.3404,71,9,24.0084,11,4,161600,21.6,20.9,N,TRUE,0,0,0,FALSE,Woburn,MAPC
132,2F8,NN,0.7046,ST 38 EB/MAIN ST,I  95 NB/ST128 NB,NBI,MHD,42,29,56.7672,71,9,31.1328,11,4,177000,37.5,26.8,5,TRUE,0,0,0,FALSE,Woburn,MAPC
133,2F9,NN,0.7199,ST 38 EB/MAIN ST,I  95 SB/ST128 SB,NBI,MHD,42,29,57.4764,71,9,31.0788,11,4,177000,37.5,20.7,6,TRUE,0,0,0,FALSE,Woburn,MAPC
134,2FA,NN,0.8131,HWY   FOREST PARK RD,I  95 NB/ST128 NB,NBI,MHD,42,30,1.5372,71,8,56.0328,11,4,177000,41.1,20.9,6,TRUE,0,0,0,FALSE,Woburn,MAPC
135,2FB,NN,0.6857,HWY   FOREST PARK RD,I  95 SB/ST128 SB,NBI,MHD,42,30,2.2032,71,8,56.3028,11,4,177000,41.1,20.9,6,TRUE,0,0,0,FALSE,Woburn,MAPC
136,2FC,NN,0.5116,RR    MBTA/BMRR,I  95 /ST128,NBI,MHD,42,30,6.7032,71,8,12.6528,11,8,175000,37.8,44.9,5,TRUE,0,0,0,FALSE,Woburn,MAPC
137,2FD,NN,0.9803,HWY   MAIN ST,I  95 /ST128,NBI,MHD,42,31,33.24,71,3,59.9292,11,8,126000,15.2,54.4,N,TRUE,0,0,0,FALSE,Lynnfield,MAPC
138,2FE,NN,0.6292,RR    BMRR/MBTA,I  95 /ST128,NBI,MHD,42,31,21.6048,71,3,32.4612,11,6,134700,7.3,47.7,N,TRUE,0,0,0,FALSE,Wakefield,MAPC
139,2FF,NN,0.7349,HWY   PARKER RD,I  95 /ST128,NBI,MHD,42,30,37.0584,71,5,34.4148,11,6,132700,18,45.1,7,TRUE,0,0,0,FALSE,Wakefield,MAPC
140,2FG,NN,0.9774,RR    MBTA/BMRR,I  95 /ST128,NBI,MHD,42,30,51.2856,71,5,27.7728,16,6,134900,19.8,46.1,6,TRUE,0,0,0,FALSE,Wakefield,MAPC
141,2FH,NN,0.901,HWY   NORTH AVE,I  95 /ST128,NBI,MHD,42,30,59.886,71,5,23.6292,11,6,133200,22.3,45.1,6,TRUE,0,0,0,FALSE,Wakefield,MAPC
142,2FJ,NN,0.9824,HWY   PLEASURE ISLAND RD,I  95 /ST128,NBI,MHD,42,30,47.4444,71,2,30.2208,11,6,132700,15.8,34.1,N,TRUE,0,0,0,FALSE,Wakefield,MAPC
143,2FK,NN,0.7658,ST129 EB LOWELL ST,I  95 /ST128,NBI,MHD,42,31,28.1352,71,4,56.3664,11,8,135400,22.6,46.9,5,TRUE,0,0,0,FALSE,Wakefield,MAPC
144,2FL,NN,0.7593,ST129 WB  MAIN ST,I  95 /ST128,NBI,MHD,42,31,32.3328,71,4,48.3564,11,6,135400,20.4,46.9,5,TRUE,0,0,0,FALSE,Wakefield,MAPC
145,2FM,NN,0.5567,HWY   QUINOBEQUIN RD,I  95 ST128,NBI,MHD,42,19,32.9124,71,15,2.0628,11,10,160000,29,44.6,6,TRUE,0,0,0,FALSE,Newton,MAPC
146,2FN,YY,0.8065,WATER CHARLES RIVER,I  95 /ST128,NBI,MHD,42,19,24.546,71,14,59.0928,11,8,170000,55.8,45.4,6,TRUE,0,0,0,FALSE,Newton,MAPC
147,2FP,YY,0.7155,WATER CHARLES RIVER,I  95 /ST128,NBI,MHD,42,20,11.958,71,15,32.9256,11,8,160000,38.1,44.5,6,TRUE,0,0,0,FALSE,Newton,MAPC
148,2FQ,NN,0.9414,ST  9 WORCESTER ST,I  95 NB/ST128 NB,NBI,MHD,42,18,59.3496,71,14,3.2352,11,5,86000,43.9,22.4,4,TRUE,0,0,0,TRUE,Wellesley,MAPC
149,2G2,NN,0.6759,I  95 /ST128 & CD,US  3 SB,NBI,MHD,42,28,35.4792,71,13,13.8576,12,2,34000,86.6,13.9,7,TRUE,0,0,0,FALSE,Burlington,MAPC
150,2G3,NN,0.730200861,I  95 /ST128 & CD,US  3 NB,NBI,MHD,42,28,35.4792,71,13,13.8576,12,1,26300,86.6,13.9,7,TRUE,0,0,0,FALSE,Burlington,MAPC
151,2GR,YY,0.7201,WATER NASHOBA BROOK,ST  2,NBI,MHD,42,28,8.868,71,24,26.3988,14,4,59600,8.5,30.5,7,TRUE,20,23,40,FALSE,Concord,MAPC
152,2GT,NN,0.8906,RR    CSX SPUR TO LEDGER,ST  3 RPS CC&C&X&Y,NBI,MHD,42,31,36,71,1,12,14,8,24100,22.6,59.4,7,TRUE,0,0,0,FALSE,Quincy,MAPC
153,2GU,NN,0.7287,OTHER RELIEF,ST  3 RAMP Y @ T,NBI,MHD,42,31,36,71,1,12,14,2,6600,150.3,9.5,7,TRUE,0,0,0,FALSE,Quincy,MAPC
154,2GV,NN,0.7238,HWY   RAMPS C & CC,ST  3 RAMP X @ T,NBI,MHD,42,31,36,71,1,12,14,1,4800,194.5,7.7,7,TRUE,0,0,0,FALSE,Quincy,MAPC
155,2HH,NN,0.9998,ST 28 FELLSWAY WST,I  93 NB,NBI,MHD,42,26,54.4524,71,6,17.8632,11,5,169000,27.1,25.1,6,TRUE,0,0,0,FALSE,Medford,MAPC
156,2HJ,NN,0.7446,ST 28 FELLSWAY WST,I  93 SB,NBI,MHD,42,26,55.068,71,6,18.6372,11,5,169000,27.1,25,6,TRUE,0,0,0,FALSE,Medford,MAPC
157,2HK,NN,0.6681,I  95 /ST128,I  93,NBI,MHD,42,30,7.902,71,7,8.6556,11,8,168800,75.6,52.5,7,TRUE,0,0,0,FALSE,Reading,MAPC
158,2HL,NN,0.6609,HWY   WEST ST,I  93,NBI,MHD,42,30,32.742,71,7,25.9284,11,8,155000,48.2,47.2,7,TRUE,0,0,0,FALSE,Reading,MAPC
159,2HM,NN,0.6237,RR    BMRR SPUR (ABAND),I  93,NBI,MHD,42,28,42.5712,71,6,51.7608,11,8,170000,9.4,49.7,6,TRUE,0,0,0,FALSE,Stoneham,MAPC
160,2HN,NN,0.8946,HWY   BORDER RD ACCESS,I  93,NBI,MHD,42,28,8.0436,71,6,27.0396,11,8,180600,39,50.6,5,TRUE,0,0,0,FALSE,Stoneham,MAPC
161,2HR,NN,0.4584,RR    MBTA/BMRR,I  93 NB,NBI,MHD,42,32,27.8052,71,8,7.4472,11,5,66900,29,22.6,6,TRUE,0,0,0,FALSE,Wilmington,MAPC
162,2HT,NN,0.4676,RR    MBTA/BMRR,I  93 SB,NBI,MHD,42,32,28.8096,71,8,8.3976,11,4,66900,28,22.6,6,TRUE,0,0,0,FALSE,Wilmington,MAPC
163,2HU,YY,0.6458,WATER IPSWICH RIVER,I  93 NB,NBI,MHD,42,33,9.27,71,8,16.926,11,4,135000,12.5,24.4,5,TRUE,0,0,0,FALSE,Wilmington,MAPC
164,2HV,YY,0.6713,WATER IPSWICH RIVER,I  93 SB,NBI,MHD,42,33,9.5364,71,8,18.0204,11,4,135000,12.5,24.4,7,TRUE,0,0,0,FALSE,Wilmington,MAPC
165,2HW,NN,0.8674,HWY   CONCORD ST,I  93,NBI,MHD,42,33,29.5992,71,8,28.0536,11,8,150000,44.8,52.5,5,TRUE,0,0,0,FALSE,Wilmington,MAPC
166,2HX,NN,0.6482,RR    MBTA/BMRR,I  93 SB,NBI,MHD,42,35,31.9128,71,10,1.2468,11,4,73400,23.2,21.1,6,TRUE,0,0,0,FALSE,Wilmington,MAPC
167,2HY,NN,0.6992,RR    MBTA/BMRR,I  93 NB,NBI,MHD,42,35,36.5028,71,10,0.5304,11,4,73400,21.3,21.1,6,TRUE,0,0,0,FALSE,Wilmington,MAPC
168,2J0,NN,0.8515,RR    BMRR SPUR (ABAND),I  93 NB OFF RMP,NBI,MHD,42,28,42.6216,71,6,51.426,12,2,19700,8.7,18.3,5,TRUE,0,0,0,FALSE,Woburn,MAPC
169,2J1,NN,0.6134,RR    BMRR SPUR (ABAND),I  93,NBI,MHD,42,28,42.4632,71,6,52.8948,11,8,170000,10.8,48.6,6,TRUE,0,0,0,FALSE,Woburn,MAPC
170,2J2,NN,0.6321,RR    BMRR SPUR (ABAND),I  93 SB ON RAMP,NBI,MHD,42,28,42.4164,71,6,53.2116,12,1,12700,10.8,9.8,5,TRUE,0,0,0,FALSE,Woburn,MAPC
171,2J3,NN,0.6892,HWY   MONTVALE AVE,I  93,NBI,MHD,42,28,48.2988,71,6,55.7676,12,8,169200,54.9,51.6,6,TRUE,0,0,0,FALSE,Woburn,MAPC
172,2J8,NN,0.8439,ST 28 RANDOLPH RD,I  93 SB/US1NB,NBI,MHD,42,12,20.8116,71,3,56.4084,12,5,104000,52.7,22,7,TRUE,0,0,0,FALSE,Quincy,MAPC
173,2KH,NN,0.759,WATER ABERJONA RIVER,HWY   MONTVALE AVE,NBI,MHD,42,28,47.0496,71,7,6.7764,12,4,41500,8.5,23.9,7,TRUE,0,0,0,FALSE,Woburn,MAPC
174,2KY,YY,1,WATER CHARLES RIVER,ST109 SPRING ST,NBI,MHD,42,16,14.1204,71,10,25.4136,14,3,45000,38.1,17.5,N,TRUE,0,0,0,FALSE,Boston,MAPC
175,2L2,NN,0.7521,I  93,ST 28 FELLSWAY W,NBI,MHD,42,27,32.6772,71,6,9.0036,16,2,13700,124.1,15.8,5,TRUE,0,0,0,FALSE,Stoneham,MAPC
176,2LH,NN,0.8551,WATER CHARLES RIVER,ST128 SERVICE RD,NBI,MHD,42,20,15.1944,71,15,28.1484,11,3,42000,62.8,30.7,4,TRUE,0,0,0,TRUE,Newton,MAPC
177,2MA,NN,0.6822,OTHER MDC AQUEDUCT,I  90 EB OFF RAMP,NBI,MHD,42,20,42,71,15,48,11,2,30400,8.5,41.5,5,TRUE,0,0,0,FALSE,Weston,MAPC
178,2NH,NN,0.7677,RR    MBTA/BMRR,US 20 MAIN ST,634,MHD,42,22,38.9424,71,13,28.8912,14,4,25300,71.3,25.9,5,TRUE,0,0,0,FALSE,Waltham,MAPC
179,2P0,NN,0.9791,RR    MBTA/BMRR,HWY   MONTVALE AVE,634,MHD,42,28,48.5904,71,7,37.9992,14,2,34100,19.5,16.7,7,TRUE,0,0,0,FALSE,Woburn,MAPC
180,2P3,NN,0.9258,RR    CSX/MBTA,ST  9 WORCESTER ST,634,MHD,42,18,43.9092,71,16,36.318,14,4,54000,28.3,23.8,8,TRUE,0,0,0,FALSE,Wellesley,MAPC
181,32V,NN,0.6701,RR    MBTA (MAIN LINE),ST107 BRIDGE ST,634,MHD,42,31,25.5252,70,53,48.9624,14,2,20000,11,36.1,N,TRUE,0,0,0,FALSE,Salem,MAPC
182,2TK,NN,0.9901,I  95 /ST128,US  1 NEWBRPRT TPK,NBI,MHD,42,30,59.2452,71,0,6.7428,14,8,156700,81.7,41.5,4,TRUE,0,0,0,TRUE,Lynnfield,MAPC
183,2TL,NN,0.6507,WATER SAUGUS RIVER,US  1 BROADWAY,NBI,MHD,42,28,57.4896,71,1,13.2672,14,8,84000,7.9,40.5,6,TRUE,0,0,0,FALSE,Saugus,MAPC
184,2TW,NN,1,ST 97 CABOT ST,ST128,NBI,MHD,42,34,26.3856,70,53,45.3912,12,5,67300,18.9,26.3,N,TRUE,0,0,0,FALSE,Beverly,MAPC
185,2TX,NN,0.9924,ST  1 A/DODGE ST,ST128,NBI,MHD,42,34,28.0416,70,53,33.468,12,5,67300,25.3,26.8,N,TRUE,0,0,0,FALSE,Beverly,MAPC
186,2TY,NN,0.906,COMB  MBTA & TOZER RD,ST128,NBI,MHD,42,34,30.8532,70,53,6.5508,12,6,69000,36.3,31.1,5,TRUE,0,0,0,FALSE,Beverly,MAPC
187,2U0,NN,0.7011,WATER WATERS RIVER,ST128,NBI,MHD,42,32,49.1748,70,56,12.4944,12,4,97500,18.9,29,4,TRUE,0,0,0,TRUE,Danvers,MAPC
188,2U1,NN,0.4536,WATER CRANE RIVER,ST128,NBI,MHD,42,33,21.7476,70,55,54.2316,12,6,69000,10.4,27.1,N,TRUE,0,0,0,FALSE,Danvers,MAPC
189,2U2,NN,0.7435,RR    MBTA/BMRR,ST128,NBI,MHD,42,33,24.786,70,55,50.5776,12,4,73000,26.2,25.6,4,TRUE,0,0,0,TRUE,Danvers,MAPC
190,2U3,NN,0.9723,ST 35 HIGH ST,ST128,NBI,MHD,42,33,28.8504,70,55,45.9408,12,4,67300,23.5,26,N,TRUE,0,0,0,FALSE,Danvers,MAPC
191,2U4,NN,0.7917,WATER PORTER RIVER,ST128,NBI,MHD,42,33,36.54,70,55,36.4872,12,4,79500,8.5,28,6,TRUE,0,0,0,FALSE,Danvers,MAPC
192,2U5,NN,0.9275,ST 62 ELLIOT ST,ST128,NBI,MHD,42,33,53.964,70,55,23.9952,12,4,67300,21.9,25.4,N,TRUE,0,0,0,FALSE,Danvers,MAPC
193,2U6,NN,0.5362,ST133 ESSEX AVE,ST128,NBI,MHD,42,37,4.9152,70,43,19.074,12,6,35200,22.3,25.6,N,TRUE,0,0,0,FALSE,Gloucester,MAPC
194,2U7,NN,0.8573,HWY   CONCORD ST,ST128,NBI,MHD,42,37,26.5188,70,42,37.062,12,6,57000,18.6,28,5,TRUE,20,25,40,FALSE,Gloucester,MAPC
195,2U8,NN,0.831,WATER ANNISQUAM RIVER,ST128,NBI,MHD,42,37,30.7848,70,41,23.2116,12,4,57160,262.7,20.7,6,TRUE,20,25,40,TRUE,Gloucester,MAPC
196,2U9,NN,0.7405,HWY   MARSH ST,ST128,NBI,MHD,42,37,21.7416,70,40,54.9444,12,4,58800,14,26.9,6,TRUE,0,0,0,FALSE,Gloucester,MAPC
197,2UA,NN,0.6623,HWY   MAPLEWOOD AVE,ST128,NBI,MHD,42,37,23.7252,70,40,12.5832,12,2,23500,14.9,29.6,5,TRUE,0,0,0,FALSE,Gloucester,MAPC
198,2UB,NN,1,RR    MBTA,ST128,NBI,MHD,42,37,28.5204,70,39,53.766,12,4,23700,10.7,29.7,8,TRUE,0,0,0,FALSE,Gloucester,MAPC
199,2UC,NN,0.7471,HWY   PINE ST,ST128 NB,NBI,MHD,42,35,24.1584,70,47,38.5908,12,2,41000,26.5,13.4,7,TRUE,0,0,0,FALSE,Manchester,MAPC
200,2UD,NN,0.747,HWY   PINE ST,ST128 SB,NBI,MHD,42,35,24.1584,70,47,38.5908,12,2,41000,26.5,13.4,7,TRUE,0,0,0,FALSE,Manchester,MAPC
201,2UE,NN,0.9982,HWY   LOWELL ST,ST128,NBI,MHD,42,32,0.4848,70,57,4.7772,12,4,97500,30.5,23.9,6,TRUE,0,0,0,FALSE,Peabody,MAPC
202,2UF,NN,0.9658,HWY   ACCESS RD,ST128,NBI,MHD,42,32,14.1932,70,56,35,12,6,97500,30.8,29.9,6,TRUE,0,0,0,FALSE,Peabody,MAPC
203,2UG,NN,0.6641,I  95 RAMP J,I  95 /ST128,NBI,MHD,42,31,25.4568,70,58,26.292,12,6,82100,31.4,49.9,7,TRUE,0,0,0,FALSE,Peabody,MAPC
204,2UH,YY,0.8386,WATER IPSWICH RIVER,ST114 ANDOVER ST,NBI,MHD,42,34,25.6116,70,59,38.2272,14,2,35850,11.6,14.9,6,TRUE,0,0,0,FALSE,Danvers,MAPC
205,2UK,NN,0.9791,WATER SWAN POND OTLT,ST114 N MAIN ST,NBI,MHD,42,36,10.4184,71,1,42.5928,14,2,32100,14.9,16.5,6,TRUE,11,14,21,FALSE,Middleton,MAPC
206,2UM,NN,0.8698,ST128,ST114 ANDOVER ST,NBI,MHD,42,32,22.9128,70,56,17.9052,14,4,44900,26.2,20.2,5,TRUE,0,0,0,FALSE,Peabody,MAPC
207,2UN,NN,0.190000075,WATER NORTH RIVER,ST114 NORTH ST,NBI,MHD,42,31,28.5348,70,53,59.5068,14,4,41500,7.3,0,N,TRUE,0,0,0,TRUE,Salem,MAPC
208,2VE,NN,0.7901,ST114 ANDOVER ST,I  95 SB,NBI,MHD,42,33,34.6572,70,58,30.0288,11,3,57000,42.7,21,6,TRUE,0,0,0,FALSE,Danvers,MAPC
209,2VF,NN,0.7901,ST114 ANDOVER ST,I  95 NB,NBI,MHD,42,33,34.4844,70,58,29.1144,11,3,57000,42.7,21,6,TRUE,0,0,0,FALSE,Danvers,MAPC
210,2VG,NN,0.78,ST 62 MAPLE ST,I  95 NB,NBI,MHD,42,34,54.9588,70,57,53.5068,11,4,57000,38.4,21,6,TRUE,0,0,0,FALSE,Danvers,MAPC
211,2VH,NN,0.7682,ST 62 MAPLE ST,I  95 SB,NBI,MHD,42,34,55.3944,70,57,54.2448,11,4,57000,39,23.8,7,TRUE,0,0,0,FALSE,Danvers,MAPC
212,2VN,NN,0.8769,I  95 /ST128,US  1 CONN RPS A&B,NBI,MHD,42,31,8.076,70,59,39.0408,12,6,59400,74.1,23.5,6,TRUE,0,0,0,FALSE,Peabody,MAPC
213,2VP,NN,0.7993,I  95 RAMP F,I  95 RAMP G,NBI,MHD,42,31,13.4328,70,59,44.2788,12,2,22000,19.8,9.1,5,TRUE,0,0,0,FALSE,Peabody,MAPC
214,2VQ,NN,0.843,I  95 RAMP C,I  95 RAMP D,NBI,MHD,42,31,17.8608,70,59,41.3844,12,2,16800,13.4,9.2,5,TRUE,0,0,0,FALSE,Peabody,MAPC
215,2VR,NN,0.9741,US  1 NEWBURY ST,I  95 RAMPS A&B,NBI,MHD,42,31,24.2688,70,59,49.4052,12,6,35000,79.9,21.5,5,TRUE,0,0,0,FALSE,Peabody,MAPC
216,2VT,NN,0.5855,US  1 NB/NEWBURY ST,I  95 SB CONNECTOR,NBI,MHD,42,32,33.54,70,59,11.3892,12,4,22800,34.1,13,6,TRUE,0,0,0,FALSE,Peabody,MAPC
217,2VU,NN,0.7299,HWY   LOWELL ST,I  95 NB,NBI,MHD,42,32,49.6104,70,58,57.1512,11,4,36500,23.5,21.1,6,TRUE,0,0,0,FALSE,Peabody,MAPC
218,2VV,NN,0.7493,HWY   LOWELL ST,I  95 SB,NBI,MHD,42,32,50.1468,70,58,57.8496,11,4,55000,23.5,21.1,6,TRUE,0,0,0,FALSE,Peabody,MAPC
219,2VW,NN,0.7422,RR    MBTA,I  95 NB,NBI,MHD,42,32,49.2,70,58,57.378,11,4,35700,9.3,82.8,6,TRUE,0,0,0,FALSE,Peabody,MAPC
220,2VX,NN,0.7402,RR    MBTA,I  95 SB,NBI,MHD,42,32,47.8752,70,58,59.2392,11,4,54300,9.3,82.8,6,TRUE,0,0,0,FALSE,Peabody,MAPC
221,2VY,NN,0.9591,I  95 RAMP FROM US 1 NB,I  95,NBI,MHD,42,32,30.174,70,59,6.378,11,6,54000,66.4,41.1,7,TRUE,0,0,0,FALSE,Peabody,MAPC
222,2W0,NN,0.6742,I  95 RAMP E,I  95 RAMP G,NBI,MHD,42,31,27.0912,70,58,48.1764,12,3,38800,32.6,13.9,7,TRUE,0,0,0,FALSE,Peabody,MAPC
223,2W1,NN,0.739,ST128,I  95 RAMP G,NBI,MHD,42,31,23.8548,70,58,42.2112,12,3,38100,83.5,13.9,7,TRUE,0,0,0,FALSE,Peabody,MAPC
224,2W2,NN,0.8155,I  95 RAMP J,I  95 RAMP G,NBI,MHD,42,31,21.936,70,58,38.6688,12,3,38800,53.9,13.9,7,TRUE,0,0,0,FALSE,Peabody,MAPC
225,2W3,NN,0.9574,WATER SAUGUS RIVER,I  95 /ST128,NBI,MHD,42,30,46.8432,71,2,15.684,16,6,130000,11,41.5,N,TRUE,0,0,0,FALSE,Lynnfield,MAPC
226,2W4,NN,0.8981,HWY   WALNUT ST,I  95 NB/ST128 NB,NBI,MHD,42,30,49.9932,71,1,45.2568,11,3,73000,17.7,20.5,N,TRUE,0,0,0,FALSE,Lynnfield,MAPC
227,2W5,NN,0.9196,HWY   WALNUT ST,I  95 SB/ST128 SB,NBI,MHD,42,30,50.652,71,1,45.6204,16,4,23000,17.7,20.5,N,TRUE,0,0,0,FALSE,Lynnfield,MAPC
228,2W6,NN,0.9413,HWY   SUMMER ST,I  95 NB/ST128 NB,NBI,MHD,42,30,56.6208,71,0,49.374,11,5,73000,18.3,20.5,N,TRUE,0,0,0,FALSE,Lynnfield,MAPC
229,2W7,NN,0.9443,HWY   SUMMER ST,I  95 SB/ST128 SB,NBI,MHD,42,30,57.2724,71,0,49.7844,11,5,73000,18.3,20.5,N,TRUE,0,0,0,FALSE,Lynnfield,MAPC
230,31A,YY,0.994,WATER GLENMERE LAKE,ST107 WESTERN AVE,NBI,MHD,42,29,9.2868,70,56,28.104,14,2,41800,158.8,15.2,7,TRUE,0,0,0,FALSE,Lynn,MAPC
231,32R,NN,0.6706,RR    MBTA (STORAGE TUN),ST107 BRIDGE ST,634,MHD,42,31,25.9392,70,53,46.8708,14,2,20000,57.9,93,N,TRUE,0,0,0,FALSE,Salem,MAPC
232,32T,NN,0.4853,COMB  ST107/BRG ST&MBTA,ST114 NORTH ST,634,MHD,42,31,24.672,70,53,57.9768,14,4,32400,42.1,22.1,5,TRUE,20,25,36,FALSE,Salem,MAPC
233,344,NN,0.543,ST 24 SB CURVE S,ST 24 NB CURVE G,NBI,MHD,42,12,3.5964,71,4,44.7888,12,2,36000,26.4,13.8,5,TRUE,0,0,0,FALSE,Randolph,MAPC
234,345,NN,0.942,I  95 NB /ST128 NB,ST109 HIGH ST,NBI,MHD,42,14,39.966,71,12,8.6256,14,4,31200,46.9,23.8,5,TRUE,0,0,0,FALSE,Dedham,MAPC
235,346,NN,0.9629,I  95 SB/ST128 SB,ST109 HIGH ST,NBI,MHD,42,14,35.5236,71,12,20.3652,14,4,31200,22.8,23.5,6,TRUE,0,0,0,FALSE,Dedham,MAPC
236,34A,NN,0.9725,I  93,ST  3 SB,NBI,MHD,42,13,35.3064,71,0,56.646,12,3,136000,57.9,14.4,7,TRUE,0,0,0,FALSE,Braintree,MAPC
237,34F,NN,0.5638,WATER MOTHER BROOK,HWY   PROVDNCE HWY,NBI,MHD,42,15,19.0764,71,10,15.8844,14,5,57500,29,32.7,5,TRUE,0,0,0,TRUE,Dedham,MAPC
238,34H,NN,0.9488,HWY   LIBERTY ST,ST  3,NBI,MHD,42,12,10.9008,70,59,7.7352,12,8,145200,19.7,36.1,6,TRUE,0,0,0,FALSE,Braintree,MAPC
239,34J,YY,0.669999978,WATER MONATIQUOT RIVER,ST  3,NBI,MHD,42,12,23.5404,70,59,42.2592,12,8,141000,16.5,53.1,N,TRUE,0,0,0,FALSE,Braintree,MAPC
240,34K,NN,0.7968,HWY   UNION ST S ROTARY,ST  3,NBI,MHD,42,12,32.2092,70,59,48.39,12,3,138000,44.5,35.4,7,TRUE,0,0,0,FALSE,Braintree,MAPC
241,34M,NN,0.8582,HWY   UNION ST N ROTARY,ST  3,NBI,MHD,42,12,39.6936,70,59,50.5032,12,6,136000,43.9,35.5,6,TRUE,0,0,0,FALSE,Braintree,MAPC
242,34N,NN,0.9631,HWY   RAMP C (Q ADAMS),HWY   ON RAMP F,NBI,MHD,42,13,36,71,1,18,12,2,19600,23,9.5,7,TRUE,0,0,0,FALSE,Braintree,MAPC
243,34P,NN,0.685,COMB  MBTA/CSX & REDS,ST  3,NBI,MHD,42,13,10.0632,71,0,2.5236,12,6,145000,36.6,36,7,TRUE,0,0,0,FALSE,Braintree,MAPC
244,34Q,NN,0.896,HWY   RAMP C (Q ADAMS),ST  3 NB,NBI,MHD,42,13,36,71,1,18,12,3,137000,23,17.5,5,TRUE,0,0,0,FALSE,Braintree,MAPC
245,34R,NN,0.9683,RR    MBTA,HWY   RAMP F,NBI,MHD,42,13,36,71,1,12,12,2,20900,20.4,12.2,7,TRUE,0,0,0,FALSE,Braintree,MAPC
246,34T,NN,0.991,ST  3 SB CONNECTOR,HWY   RMP J (WASH),NBI,MHD,42,13,36,71,1,18,12,2,9800,47.8,7.7,7,TRUE,0,0,0,FALSE,Braintree,MAPC
247,34U,NN,0.757,ST  3 NB,HWY   RAMP L NB ON,NBI,MHD,42,13,36,71,1,18,12,2,36100,44.5,9.5,7,TRUE,0,0,0,FALSE,Braintree,MAPC
248,34V,NN,0.7322,HWY   RAMP C (Q ADAMS),ST  3 SB,NBI,MHD,42,13,42,71,1,18,12,4,137000,25.4,17.7,5,TRUE,0,0,0,FALSE,Braintree,MAPC
249,34W,NN,0.9818,ST  3 & RAMPS C&F,HWY   RAMP CC,NBI,MHD,42,13,36,71,1,18,12,2,24000,101.5,10.8,7,TRUE,0,0,0,FALSE,Braintree,MAPC
250,34X,NN,0.7486,HWY   RAMP B NB QA ON RP,HWY   RAMP F,NBI,MHD,42,13,36,71,1,18,12,2,14800,41.5,9.5,7,TRUE,0,0,0,FALSE,Braintree,MAPC
251,34Y,YY,1,WATER TOWN BROOK,ST  3 & RAMPS,NBI,MHD,42,13,36.1056,71,0,33.2712,12,13,145000,6.7,0,N,TRUE,0,0,0,FALSE,Braintree,MAPC
252,350,NN,0.9731,HWY   PLEASANT ST,ST  3 SB,NBI,MHD,42,11,12.822,70,56,2.49,12,3,60200,20.7,17.6,7,TRUE,0,0,0,FALSE,Weymouth,MAPC
253,351,NN,0.9666,HWY   PLEASANT ST,ST  3 NB,NBI,MHD,42,11,15.1152,70,56,1.1616,12,3,106400,18.6,13.4,6,TRUE,0,0,0,FALSE,Weymouth,MAPC
254,353,NN,1,WATER MILL RIVER,ST  3,NBI,MHD,42,11,39.6708,70,57,26.4096,12,8,150000,9.1,46.9,N,TRUE,0,0,0,FALSE,Weymouth,MAPC
255,354,NN,1,WATER MILL RIVER,ST  3 RAMPS D&E,NBI,MHD,42,11,35.5308,70,57,29.2212,12,2,24400,9.1,29.6,N,TRUE,0,0,0,FALSE,Weymouth,MAPC
256,355,NN,0.6461,HWY   SUMMER ST,ST  3,NBI,MHD,42,11,57.0948,70,58,14.8008,12,6,141500,19.1,35.5,7,TRUE,0,0,0,FALSE,Weymouth,MAPC
257,356,NN,0.7021,ST 37 GRANITE ST,I  93 NB/US1NB,NBI,MHD,42,13,21.7416,71,1,52.3668,11,4,192200,32.3,22,7,TRUE,0,0,0,FALSE,Braintree,MAPC
