OBJECTID,AllBridges_2013April_BDEPT,AllBridges_2013April_BIN,AllBridges_2013April_FHWA_Record,AllBridges_2013April_Health_Index,AllBridges_2013April_Item___6A,AllBridges_2013April_Item___7,AllBridges_2013April_Item___8_Bridge_Cat,AllBridges_2013April_Item___8_Owner,AllBridges_2013April_Item__16A,AllBridges_2013April_Item__16B,AllBridges_2013April_Item__16C,AllBridges_2013April_Item__17A,AllBridges_2013April_Item__17B,AllBridges_2013April_Item__17C,AllBridges_2013April_Item__26,AllBridges_2013April_Item__28A,AllBridges_2013April_Item__29,AllBridges_2013April_Item__30,AllBridges_2013April_Item__32,AllBridges_2013April_Item__34,AllBridges_2013April_Item__49,AllBridges_2013April_Item__52,AllBridges_2013April_Item__58,AllBridges_2013April_Item_104,AllBridges_2013April_Posting_2_Axle,AllBridges_2013April_Posting_3_Axle,AllBridges_2013April_Posting_5_Axle,AllBridges_2013April_Struct_Def,AllBridges_2013April_Town_Name,AllBridges_2013April_RPA
611,C02009,370,True,0.9973,RR    AMTRAK/MBTA,HWY   CHAPMAN ST,634,DOT,42,10,0.2856,71,9,16.4592,17,2,13800,2011,12.2,50,37.5,17.6,7,False,0,0,0,False,Canton,MAPC
612,C02014,33F,True,0.6487,WATER E BR NEPONSET RIV,HWY   NEPONSET ST,NBI,MUN,42,9,30.276,71,9,19.0008,14,2,20600,2010,10.4,99,6.1,18.3,N,False,0,0,0,False,Canton,MAPC
613,C02015,33G,True,0.9625,WATER E BR NEPONSET RIV,HWY   WASHNGTON ST,NBI,MUN,42,9,15.7752,71,8,45.6756,14,2,29600,2010,16.5,0,10.4,21.3,7,False,0,0,0,False,Canton,MAPC
614,C02020,33U,True,0.5946,WATER MASSAPOAG BROOK,HWY   SHEPPARD ST,NBI,MUN,42,8,46.734,71,8,52.9188,19,1,300,2012,5.2,0,8.4,6.1,8,False,0,0,0,False,Canton,MAPC
615,C02024,371,True,0.9736,RR    AMTRAK/MBTA,HWY   DEDHAM ST,634,DOT,42,11,45.5964,71,9,15.1992,16,2,15800,2011,9.8,20,50.7,11,7,False,0,0,0,False,Canton,MAPC
616,C02026,8FW,True,1,WATER NEPONSET RIVER,I  95 NB/US1/ST128,NBI,DOT,42,12,35.89,71,8,41.84,11,5,168600,2011,24.5,20,42.1,25.8,7,True,0,0,0,False,Canton,MAPC
617,C02027,8FT,True,1,WATER NEPONSET RIVER,I  95 SB/US1/ST128,NBI,DOT,42,12,35.35,71,8,42.21,11,5,168600,2011,24.5,20,42.1,25.8,7,True,0,0,0,False,Canton,MAPC
618,C02028,36A,True,0.5074,I  93 /US1,ST138 WASHNGTON ST,NBI,DOT,42,12,11.5344,71,7,10.2792,14,4,46000,2011,21,2,51.2,25,7,True,0,0,0,False,Canton,MAPC
619,C02031,35B,True,0.9604,WATER NEPONSET RIVER,I  95 NB,NBI,DOT,42,9,53.46,71,10,35.29,11,4,113000,2011,15.2,0,29,17.1,7,True,0,0,0,False,Canton,MAPC
620,C02031,35L,True,0.9955,WATER NEPONSET RIVER,I  95 SB,NBI,DOT,42,9,54.25,71,10,37.09,11,3,113000,2011,15.2,0,29,17.1,7,True,0,0,0,False,Canton,MAPC
621,C02033,35C,True,0.7662,RR    AMTRAK/MBTA,I  95 NB,NBI,DOT,42,11,15.6624,71,9,21.042,11,3,115000,2011,15.2,37,24.4,17.1,7,True,0,0,0,False,Canton,MAPC
622,C02033,35D,True,0.849,RR    AMTRAK/MBTA,I  95 SB,NBI,DOT,42,11,16.7604,71,9,21.0708,11,3,115000,2011,15.2,37,24.4,17.1,7,True,0,0,0,False,Canton,MAPC
623,C02034,36H,True,0.6344,I  95,HWY   DEDHAM ST,NBI,DOT,42,11,32.4816,71,9,5.1732,16,2,21500,2011,9.8,24,102.7,12.5,7,True,0,0,0,False,Canton,MAPC
624,C02035,36M,True,0.7309,I  95,HWY   GREENLDGE ST,NBI,DOT,42,12,14.6448,71,8,33.27,19,2,400,2011,9.8,5,114,12.4,6,True,0,0,0,False,Canton,MAPC
625,C02036,35H,True,0.7359,I  95 /US1/ST128,I  95 NB,NBI,DOT,42,12,27.2988,71,8,24,11,2,110000,2013,28,15,90.2,29.8,5,True,0,0,0,False,Canton,MAPC
626,C02036,35J,True,0.7333,I  95 /US1/ST128,I  95 SB,NBI,DOT,42,12,27.29,71,8,26.054,11,2,110000,2013,15.8,15,90.2,17.7,6,True,0,0,0,False,Canton,MAPC
627,C02037,368,True,0.9539,WATER NEPONSET RIVER,HWY   NEPONSET ST,NBI,DOT,42,10,6.3768,71,10,5.6316,14,3,31900,2012,21.3,0,35.1,19.7,7,False,0,0,0,False,Canton,MAPC
628,C02042,33V,True,0.4194,WATER E BR NEPONSET RIV,HWY   REVERE CT,NBI,MUN,42,9,15.9012,71,8,51.324,19,1,500,2012,4.3,0,11.3,4.8,7,False,0,0,0,False,Canton,MAPC
629,C09001,3FL,True,0.5124,RR    MBTA/BMRR,HWY   WASHNGTON AV,634,DOT,42,23,43.2312,71,2,0.06,16,2,8900,2012,10.4,0,20.1,15.9,6,False,0,0,0,False,Chelsea,MAPC
630,C09002,3FM,True,0.9733,RR    MBTA/BMRR,HWY   BROADWAY,634,DOT,42,23,41.3232,71,1,50.7108,14,2,18100,2012,13.4,42,25,21,7,False,0,0,0,False,Chelsea,MAPC
631,C09003,3FN,True,0.9407,RR    CSX (ABANDONED),HWY   BELLNGHM ST,634,DOT,42,23,25.9548,71,1,31.5912,17,2,2400,2012,8.5,39,18.6,13,7,False,0,0,0,False,Chelsea,MAPC
632,C09007,3A6,True,0.677,HWY   ARLINGTON & 5TH ST,"US  1 SB BTS 36,PR",NBI,DOT,42,23,43.2168,71,2,8.8512,17,3,27000,2009,11.9,99,381.9,14.3,5,True,0,0,0,True,Chelsea,MAPC
633,C09007,3A8,True,0.731,RR    MBTA/BMRR,US  1 NE XWAY,NBI,DOT,42,23,45.0924,71,2,9.546,12,6,63500,2009,26.2,99,32.9,28.7,7,True,0,0,0,False,Chelsea,MAPC
634,C09007,3AA,True,0.6028,HWY   SPRUCE ST,"US  1 PR2, N ABUT",NBI,DOT,42,23,48.8544,71,2,13.2864,12,6,63500,2009,26.2,99,246.3,28.7,6,True,0,0,0,True,Chelsea,MAPC
635,C09007,3AB,True,0.7427,HWY   ARLINGTON & 5TH ST,"US  1 S ABT,PR1",NBI,DOT,42,23,43.2168,71,2,8.8512,12,3,36500,2009,11.6,99,266.4,14.3,6,True,0,0,0,True,Chelsea,MAPC
636,C09007,3AC,True,0.7123,HWY   ARLINGTON ST,US  1 RP ABUT-BT50,NBI,DOT,42,23,43.2168,71,2,8.8512,17,1,5600,2011,8.5,99,97.5,11,7,True,0,0,0,False,Chelsea,MAPC
637,C09008,AAT,True,0.5205,WATER MILL CREEK,HWY   ACCESS RD,NBI,DOT,42,24,12,71,1,24,19,2,23376,2012,9.8,0,9.8,12.3,N,True,0,0,0,False,Chelsea,MAPC
638,C09011,3A7,True,0.7163,HWY   ORANGE & CARTER ST,US  1 NE XWAY,NBI,DOT,42,24,6.102,71,2,15.9,12,6,56000,2009,27.4,99,309.1,27.4,5,True,0,0,0,True,Chelsea,MAPC
639,C09011,3A9,True,0.6848,HWY   ORANGE ST,US  1 SB RAMP,NBI,DOT,42,24,6.7824,71,2,18.2868,17,1,14700,2009,7,0,144.8,9.1,6,True,0,0,0,True,Chelsea,MAPC
640,C09013,3EQ,True,0.8921,US  1 NE XWAY,HWY   COUNTY RD,NBI,DOT,42,24,9.1584,71,2,12.282,16,4,14000,2010,12.2,35,41.1,53.9,5,False,0,0,0,False,Chelsea,MAPC
641,C09014,3B1,True,0.727,HWY   ACCESS RAMP E,ST 16 EB,NBI,DOT,42,24,21.5856,71,1,40.6272,14,3,31700,2012,11,59,22.5,13.9,6,True,0,0,0,False,Chelsea,MAPC
642,C09015,3A5,True,0.6972,HWY   WEBSTER AVE,US  1 NE XWAY,NBI,DOT,42,24,14.6016,71,1,46.2252,12,6,99000,2012,32.9,31,23.2,34.3,5,True,0,0,0,False,Chelsea,MAPC
643,C09020,9XA,True,0.9663,WATER MILL CREEK,ST107 BROADWAY,NBI,DOT,42,24,11.5992,71,1,7.3884,14,4,30300,2012,14.6,0,16.8,20.5,6,False,0,0,0,False,Chelsea,MAPC
644,C17001,42F,True,0.6417,WATER THE GULF,HWY   BORDER ST,NBI,MUN,42,14,16.4544,70,47,25.5768,17,2,7200,2012,8.2,15,24.4,11,N,False,0,0,0,False,Cohasset,MAPC
645,C17002,42G,True,0.8614,WATER LITTLE HARBOR INLT,HWY   ATLANTIC AVE,NBI,MUN,42,15,8.1972,70,47,44.7684,9,2,4900,2012,7.9,1,28,11,6,False,20,25,40,True,Cohasset,MAPC
646,C17005,44C,True,0.6575,WATER BOUND BROOK,HWY   MORD LINC RD,NBI,MUN,42,13,22.2384,70,47,22.4556,19,1,500,2012,4.9,0,7.9,5.2,6,False,10,10,10,False,Cohasset,MAPC
647,C19001,2BE,True,0.524,WATER FORT POND BROOK,HWY   COMMNWLTH AV,NBI,MUN,42,27,30.96,71,23,52.008,17,2,10200,2011,10.1,8,11,12.6,N,False,13,19,27,False,Concord,MAPC
648,C19002,2JW,True,0.6708,WATER SUDBURY RIVER,HWY   ELM ST,NBI,DOT,42,27,33.4116,71,22,0.5124,16,2,12850,2012,8.5,0,25.6,9.4,N,False,0,0,0,False,Concord,MAPC
649,C19003,2BF,True,0.9704,WATER SUDBURY RIVER,HWY   SUDBURY RD,NBI,MUN,42,26,27.2436,71,22,7.2228,17,2,19008,2012,9.2,0,36.8,13.7,7,False,0,0,0,False,Concord,MAPC
650,C19004,2KJ,True,0.4568,WATER SUDBURY RIVER,ST 62 /ST2A/MAIN,NBI,DOT,42,27,28.998,71,22,0.8292,14,2,17715,2010,9.1,2,21.9,9.9,N,False,7,11,17,False,Concord,MAPC
651,C19005,ALP,True,1,WATER SUDBURY RIVER,ST117 FITCHBRG TPK,NBI,DOT,42,25,12.24,71,21,54.14,16,2,12400,2011,9.4,0,28,10.845,N,False,0,0,0,False,Concord,MAPC
652,C19006,2CU,True,0.9634,WATER SUDBURY RIVER,HWY   NASHAWTUC RD,NBI,MUN,42,27,34.776,71,21,35.9496,19,2,4000,2011,7.6,0,16.3,7.8,N,False,0,0,0,False,Concord,MAPC
653,C19007,2DV,True,0.6839,WATER ASSABET RIVER,ST  2 ELM ST,NBI,DOT,42,27,56.826,71,23,30.6672,14,4,46900,2012,15.2,0,23.2,19.8,N,True,0,0,0,False,Concord,MAPC
654,C19008,2KN,True,0.9374,WATER ASSABET RIVER,ST 62 MAIN ST,NBI,DOT,42,26,31.1928,71,25,37.7472,14,2,13900,2012,12.2,10,24.4,15,5,False,0,0,0,False,Concord,MAPC
655,C19009,2KL,True,0.682,WATER POWER CANAL,ST 62 MAIN ST,NBI,DOT,42,27,9.882,71,24,35.7336,14,2,14350,2013,9.8,7,7,18.8,N,False,0,0,0,False,Concord,MAPC
296,B16281,3BR,True,0.9113,I  93 CONN D & K,I  93 BT NB4-N ABT,NBI,DOT,42,22,51.3948,71,4,36.714,11,4,155000,2011,20.7,99,112.8,21.8,6,True,0,0,0,False,Boston,MAPC
297,B16281,3BT,True,0.9953,TR    ORANGE LINE,I  93 SB BT 46-57,NBI,DOT,42,22,40.2672,71,4,33.2544,11,3,72100,2010,17.68,0,273.7,21.34,6,True,0,0,0,False,Boston,MAPC
298,B16281,3BU,True,0.9889,RR    MBTA & BMRR,I  93 SB BT 57-61,NBI,DOT,42,22,45.246,71,4,35.688,11,3,68700,2005,13.7,0,102.1,27.3,6,True,0,0,0,False,Boston,MAPC
299,B16281,3BV,True,0.9938,RR    BMRR,I  93 SB BT 61-B5,NBI,DOT,42,22,47.3916,71,4,36.606,11,3,72100,2012,13.7,0,148.4,17.4,6,True,0,0,0,False,Boston,MAPC
300,B16281,3CE,True,0.9132,I  93 SB,I  93 NB ON RMP,NBI,DOT,42,22,54,71,4,36,12,1,24300,2008,6.7,99,91.4,13.7,5,True,0,0,0,False,Boston,MAPC
301,B16281,3CG,True,0.944299414,RR    MBTA & BMRR,I  93 SB B10-B16RP,NBI,DOT,42,22,54,71,4,36,12,2,13000,2008,11,99,120.4,13.7,6,True,0,0,0,False,Boston,MAPC
302,B16281,3DU,True,0.6724,I  93 SB BT 33-38,I  93 NB BT 33-38,NBI,DOT,42,22,27.768,71,4,17.778,11,3,74200,2012,18.9,0,143.1,21,5,True,0,0,0,False,Boston,MAPC
303,B16281,3DW,True,0.8449,I  93 SB BT 38-46,I  93 NB BT 38-46,NBI,DOT,42,22,34.14,71,4,25.8672,11,3,74200,2010,18.9,99,198.7,21,6,True,0,0,0,False,Boston,MAPC
304,B16281,3DY,True,0.8684,COMB  MBTA & I 93 SB,I  93 NB B5-B10,NBI,DOT,42,22,53.1444,71,4,36.9624,11,3,59900,2008,17.4,99,167.6,18.9,6,True,0,0,0,False,Boston,MAPC
305,B16281,3E1,True,0.6719,I  93 SB B10-B16,I  93 NB B10-B16,NBI,DOT,42,22,56.3376,71,4,36.6132,11,3,76200,2006,18.9,5,139,21,5,True,0,0,0,False,Boston,MAPC
306,B16281,3E3,True,0.8204,I  93 SB&CMBRG&MBTA/BMRR,I  93 NB B16-NB4,NBI,DOT,42,22,58.6164,71,4,36.534,11,4,84200,2008,19.5,99,375.8,21.7,6,True,0,0,0,False,Boston,MAPC
307,B16281,3EA,True,0.9958,TR    ORANGE LINE,I  93 SB BT 33-38,NBI,DOT,42,22,27.2712,71,4,18.426,11,3,72100,2012,18.9,0,124,21,6,True,0,0,0,False,Boston,MAPC
308,B16281,3EB,True,0.7664,TR    ORANGE LINE,I  93 SB BT 38-46,NBI,DOT,42,22,33.6468,71,4,26.5224,11,3,72100,2010,18.9,0,198.7,21,6,True,0,0,0,False,Boston,MAPC
309,B16281,3ED,True,0.9846,RR    MBTA/BMRR,I  93 SB B5-B10,NBI,DOT,42,22,53.1336,71,4,37.902,11,3,68700,2005,13.7,0,167.6,17.4,6,True,0,0,0,False,Boston,MAPC
310,B16281,3EE,True,0.9888,RR    MBTA/BMRR,I  93 SB B10-B16,NBI,DOT,42,22,56.3448,71,4,37.5456,11,3,68700,2005,13.7,99,134.7,17.4,6,True,0,0,0,False,Boston,MAPC
311,B16281,3EG,True,0.7593,COMB  CAMBRIGE&MBTA/BMRR,I  93 SB  B16-SB4,NBI,DOT,42,22,58.476,71,4,37.47,11,4,75900,2009,19.8,99,370,21.7,6,True,0,0,0,False,Boston,MAPC
312,B16281,8R8,True,0.9332,HWY   CONNECTORS D & K,I  93 BT SB4-N ABT,NBI,DOT,42,22,51.39,71,4,36.71,11,4,152000,2011,18.8,0,111.5,21.3,7,True,0,0,0,False,Boston,MAPC
313,B16290,B27,True,1,HWY   LOGAN RMP GD,HWY   LOGAN RMP EG,NBI,MPA,42,21,52.26,71,1,9.15,17,1,1000,0,6.1,0,31.4,7.9,6,False,0,0,0,False,Boston,MAPC
314,B16291,B28,True,1,HWY   LOGAN TRM B ARIV E,HWY   LOGAN TRM B,NBI,MPA,42,21,53.08,71,1,11.55,17,3,1000,2004,0,0,173.8,19.9,6,False,11,23,28,False,Boston,MAPC
315,B16292,B29,True,0.8462,HWY   LOGAN TRM B ARIV E,HWY   LOGAN TRM B,NBI,MPA,42,21,48.56,71,1,8.9759,17,3,1000,0,7.9,0,157,19.9,6,False,0,0,0,False,Boston,MAPC
316,B16293,B34,True,1,HWY   LOGAN TRM B ARR RD,HWY   TRM B DEP RD,NBI,MPA,42,21,48.17,71,1,9.15,17,3,0,0,0,0,570.12,19.9,7,False,0,0,0,False,Boston,MAPC
317,B16351,394,True,0.5839,HWY   RUTHERFORD AVE,HWY   AUSTIN ST,NBI,MUN,42,22,26.976,71,4,5.7756,16,6,28600,2010,13.4,0,28.3,46.7,6,False,0,0,0,False,Boston,MAPC
318,B16353,4RG,True,0.9641,HWY   SERVICE RD,I  90,NBI,DOT,42,21,24,71,7,39.67,11,8,134400,2012,34.1,0,8.5,35.1,6,True,0,0,0,False,Boston,MAPC
319,B16354,4RH,True,0.9837,RR    CSX LEAD TRACK,I  90,NBI,DOT,42,21,24.87,71,7,37.3,11,8,134400,2012,35.2,62,14,36.6,6,True,0,0,0,False,Boston,MAPC
320,B16355,4RP,True,0.8781,COMB  I90 W ONRP A & CSX,I  90 WB ON-RAMP E,NBI,DOT,42,21,30.9384,71,7,18.5,12,1,8150,2012,7.9,0,53,10.1,5,True,0,0,0,False,Boston,MAPC
321,B16356,4RR,True,0.7963,COMB  I90 W ONRP A & CSX,I  90 EB ON-RAMP,NBI,DOT,42,21,32,71,7,17.5,12,2,75000,2010,9.8,12,44.8,11.9,5,True,0,0,0,False,Boston,MAPC
322,B16357,4RV,True,0.8128,I  90,I  90 EB RAMP ON D,NBI,DOT,42,21,25.3872,71,7,14,12,2,19900,2010,12.2,0,365.5,14.6,5,True,0,0,0,False,Boston,MAPC
323,B16358,4RW,True,-1,RR    CSX,I  90 WB RAMP OFF,NBI,DOT,42,21,21.7,71,7,7,12,3,111,1997,12.2,0,234.4,14.6,5,True,0,0,0,False,Boston,MAPC
324,B16359,4RX,True,0.4596,RR    CSX,I  90 EB,NBI,DOT,42,21,12,71,7,6,11,4,62904,1996,14.6,0,757.1,16.5,4,True,0,0,0,True,Boston,MAPC
325,B16359,4RY,True,0.4596,RR    CSX,I  90 WB,NBI,DOT,42,21,12,71,7,6,11,4,63725,1996,14.6,0,757.7,16.5,4,True,0,0,0,True,Boston,MAPC
326,B16360,4T4,True,0.8685,WATER MUDDY RIVER,I  90,NBI,DOT,42,20,51.9936,71,5,35.8872,11,4,101659,2013,14.6,0,19.8,17.1,6,True,0,0,0,False,Boston,MAPC
327,B16365,4EL,True,0.5698,ST  2 /COMM AV & BEACON,HWY   BOWKER INT,NBI,DOT,42,20,56.76,71,5,32.5,12,4,54300,2011,18.3,0,235.3,18.3,4,True,0,0,0,True,Boston,MAPC
328,B16365,4FD,True,0.6606,WATER MUDDY RIVER,HWY   COMM AV OFRP,NBI,DOT,42,20,54,71,5,31,12,2,5386,2012,11,0,87.2,10.7,4,True,0,0,0,True,Boston,MAPC
329,B16365,4FF,True,0.6952,HWY   KENMORE OFF RMP,HWY   BWKR SB ONRP,NBI,DOT,42,21,2.7,71,5,36,12,2,9143,2012,7.3,5,152.4,9.1,4,True,22,27,36,True,Boston,MAPC
330,B16365,4FG,True,0.5767,WATER MUDDY RIVER,HWY   BWKR SB ONRP,NBI,DOT,42,21,1.8,71,5,33.5,12,2,13600,2012,9.1,5,67.1,9.8,4,True,0,0,0,True,Boston,MAPC
331,B16365,4FH,True,0.5524,OTHER RELIEF,HWY   BWKR NB OFRP,NBI,DOT,42,21,1.8,71,5,32.2,12,2,10062,2012,7.3,0,64,7.3,4,True,0,0,0,True,Boston,MAPC
332,B16365,4FJ,True,0.4974,HWY   STRRW DR WB ON RMP,HWY   BWKR NB OFRP,NBI,DOT,42,21,1.8,71,5,31.5,12,2,15074,2012,13.7,10,45.7,9.1,4,True,0,0,0,True,Boston,MAPC
333,B16365,4FK,True,0.4952,HWY   BOWKR ON & OFF RPS,HWY   STORRW DR EB,NBI,DOT,42,21,3.3156,71,5,35.6352,12,2,32400,2011,11,0,201.2,9.1,4,True,0,0,0,True,Boston,MAPC
334,B16365,4FL,True,0.9865,HWY   STRRW DR WB & OFRP,HWY   STRW WB ONRP,NBI,DOT,42,21,5.25,71,5,34,12,2,16700,2011,7.3,5,128,8.6,7,True,0,0,0,False,Boston,MAPC
335,B16366,4RU,True,0.6756,COMB  I90 E RPS BDL & CS,HWY   CAMBRIDGE ST,NBI,DOT,42,21,36.2952,71,7,15.9024,14,4,30560,2012,20.7,29,103.5,26.9,5,True,0,0,0,False,Boston,MAPC
336,B16367,4EX,True,0.5852,COMB  WASH ST&AMTK&ORNG,ST203 ARBORWAY,NBI,DOT,42,18,4.9932,71,6,49.86,14,4,26000,2010,20.7,0,503.6,24.4,5,True,0,0,0,True,Boston,MAPC
337,B16369,4RT,True,0.7241,I  90 WB & RAMPS F D L,I  90 EB OFF- RAMP,NBI,DOT,42,21,27.9864,71,7,20.0064,12,2,26000,2010,8.5,54,279.2,10.7,4,True,0,0,0,True,Boston,MAPC
338,B16375,4EQ,True,0.7129,HWY   SOLDIERS FIELD RD,HWY   WESTERN AVE,NBI,DOT,42,21,50.9724,71,7,4.71,16,5,24500,2012,18.3,6,19.8,24.1,5,False,0,0,0,False,Boston,MAPC
339,B16376,4FP,True,0.6703,HWY   SOLDIERS FIELD RD,HWY   N HARVARD ST,NBI,DOT,42,22,5.0268,71,7,27.9192,14,4,32000,2012,15.8,7,19.2,22.9,5,True,0,0,0,False,Boston,MAPC
340,B16377,4EH,True,0.6085,HWY   SOLDIERS FIELD RD,HWY   CAMBRIDGE ST,NBI,DOT,42,21,39.204,71,7,6.0276,14,5,40500,2012,19.8,17,20.1,24.4,6,True,0,0,0,False,Boston,MAPC
341,B16382,38T,True,0.4316,COMB  I 90&CAMBRIA&CSX,HWY   DALTON ST,NBI,MUN,42,20,49.9236,71,5,8.5884,16,4,9300,2009,14.6,18,62.2,21.5,4,False,0,0,0,True,Boston,MAPC
342,B16384,2CQ,True,0.9926,WATER LITTLE MYSTIC CHAN,HWY   CHELSEA ST,NBI,MUN,42,22,48.5292,71,3,6.9696,16,2,4800,2011,9.8,0,116.7,12.6,7,False,0,0,0,False,Boston,MAPC
343,B16385,4VW,True,0.777777778,COMB  AMTRAK/MBTA & ORNG,HWY   CEDAR ST,NBI,MBT,42,19,42,71,5,54,19,2,10183,1996,7.9,6,30.8,13.5,7,False,0,0,0,False,Boston,MAPC
344,B16386,4VX,True,0.777777778,COMB  AMTRAK/MBTA & ORNG,HWY   MINTON RD,NBI,MBT,42,18,48,71,6,24,19,2,10183,1996,7.9,5,25.6,13,7,False,0,0,0,False,Boston,MAPC
345,B16387,4VY,True,0.777777778,COMB  AMTRAK/MBTA & ORNG,HWY   GORDON ST,NBI,MBT,42,18,36,71,6,30,17,2,10183,1996,7.9,0,33.5,12.9,7,False,0,0,0,False,Boston,MAPC
346,B16388,4W0,True,0.777777778,RR    AMTRAK/MBTA,HWY   UKRAINE WAY,NBI,MBT,42,17,54.0672,71,6,56.2284,19,4,111,1997,7.9,0,24.1,23.1,7,False,0,0,0,False,Boston,MAPC
347,B16390,4F7,True,0.8868,COMB  NEPONSET AVE&RIVER,ST  3 A/MORRSY BLV,NBI,DOT,42,17,2.1372,71,2,23.2116,14,6,40500,2011,24.4,0,310.3,29.9,5,True,20,25,36,False,Boston,MAPC
348,B16390,4FQ,True,0.815,OTHER RELIEF,ST  3 A/HNCK OFFRP,NBI,DOT,42,17,0,71,2,18,14,1,17500,2011,5,0,67.7,8.7,8,True,0,0,0,False,Boston,MAPC
349,B16390,4FR,True,0.8807,ST  3 A/HNCK NB&MBTA&RED,HWY   QUINCY SHORE,NBI,DOT,42,17,0,71,2,18,16,2,65700,2011,17.1,0,458,20.1,8,True,0,0,0,False,Boston,MAPC
350,B16390,4FT,True,0.8814,HWY   QUINCY LOOP,ST  3 A/HANCK ONRP,NBI,DOT,42,17,0,71,2,18,14,2,27550,2007,7.3,0,68,9.1,6,True,20,25,36,False,Boston,MAPC
351,B16390,4FU,True,0.9655,OTHER PARKING,HWY   MORRSY OFFRP,NBI,DOT,42,17,0,71,2,18,14,1,1050,2007,5.6,0,76.9,9.5,7,True,20,25,36,False,Boston,MAPC
352,B16392,82F,True,0.9257,RR    MBTA,US  1 RAMP TC,NBI,DOT,42,22,17.24,71,4,10.65,11,2,221000,2010,12.2,99,118,13.4,6,True,0,0,0,False,Boston,MAPC
353,B16392,8DG,True,0.7673,I  93 RMPS SN NS ST,US  1 RAMP TC,NBI,DOT,42,22,19.55,71,4,7.58,11,2,174630,2000,12.2,99,146.5,14.3,7,True,0,0,0,False,Boston,MAPC
354,B16392,8QG,True,0.8044,OTHER RELIEF,US  1 RAMP TC,NBI,DOT,42,22,14.28,71,4,8.7,11,2,174630,2000,0,99,103.6,13.4,7,True,0,0,0,False,Boston,MAPC
355,B16392,8XU,True,0.8019,OTHER RELIEF,US  1 RAMP TC,NBI,DOT,42,22,11.62,71,4,2.26,11,2,174630,2000,12.8,0,171.3,13.4,7,True,0,0,0,False,Boston,MAPC
356,B16392,8XW,True,0.8068,COMB  I93 RMP NS & MBTA,US  1 RAMP TC,NBI,DOT,42,22,11.88,71,3,56.4,11,3,22140,2010,12.5,99,135,13.7,6,True,0,0,0,False,Boston,MAPC
357,B16400,4F1,True,0.5402,HWY   SOLDIERS FIELD RD,HWY   WESTERN AVE,NBI,DOT,42,21,41.832,71,8,46.68,14,4,50200,2012,20.7,20,20.1,24.6,6,False,0,0,0,False,Boston,MAPC
358,B16401,395,True,0.9793,WATER MUDDY RIVER,HWY   IPSWICH ST,NBI,MUN,42,20,50.0388,71,5,35.9304,19,2,5400,2011,12.5,0,19.4,13.4,8,False,0,0,0,False,Boston,MAPC
359,B16409,927,True,0.8635,US  1 NB,US  1 SB,NBI,DOT,42,22,25,71,3,30,12,3,44700,2007,11,0,216.4,13.2,6,True,0,0,0,False,Boston,MAPC
360,B16451,38Y,True,0.6595,WATER SCARBOROUGH POND,HWY   CIRCUIT DR,NBI,MUN,42,17,48.4728,71,5,56.598,19,2,1000,2013,9.8,0,9.4,17.6,N,False,14,20,30,False,Boston,MAPC
361,B16457,4EE,True,0.7465,HWY   STORROW DR EB,HWY   STORRW DR WB,NBI,MDC,42,21,12,71,4,36,12,2,57770,1996,7.3,0,10.7,11.6,6,True,0,0,0,True,Boston,MAPC
362,B16458,4ED,True,0.7128,HWY   EMBANKMENT RD WB,ST 28 LEVERETT CIR,NBI,DOT,42,22,0,71,4,5,12,4,50000,2011,9.8,0,10.7,11.9,5,True,0,0,0,True,Boston,MAPC
363,B16459,4FA,True,1,WATER PATTEN'S COVE,HWY   MORRSSEY BLV,NBI,DOT,42,18,46.3572,71,2,49.038,14,7,57900,2013,31.8,30,9.3,47.5,8,True,0,0,0,False,Boston,MAPC
364,B16460,4FB,True,0.6446,WATER CHARLES RIV MOAT,HWY   ACCESS RD,NBI,DOT,42,21,58.08,71,8,6.09,14,1,111,2011,6.1,0,8.5,6.7,6,False,19,28,41,False,Boston,MAPC
365,B16462,4EK,True,0.6431,HWY   EMBNKT RD EB ONRMP,HWY   ARLNGTN OFRP,NBI,DOT,42,21,21.5,71,4,24.2,12,2,24000,2011,7.6,99,9.4,9.1,6,True,0,0,0,False,Boston,MAPC
366,B16464,2DE,True,0.9972,OTHER RELIEF,HWY   RESERVATN RD,NBI,MUN,42,14,57.7932,71,7,46.1856,16,2,1900,2011,8.2,0,6.1,13.1,N,False,0,0,0,False,Boston,MAPC
367,B16494,AAG,True,-1,TR    RED HSL,HWY   CEDAR GROVE,NBI,MBT,42,16,42,71,3,36,8,2,62609,1997,19.5,10,18.3,18.3,5,False,0,0,0,False,Boston,MAPC
368,B16495,AAH,True,-1,TR    GREEN LINE D,HWY   MINER ST,NBI,MBT,42,19,30,71,12,6,9,2,11505,1997,7.3,0,12.8,12.2,6,False,0,0,0,False,Boston,MAPC
369,B16496,AAJ,True,0.777777778,TR    ORANGE LINE,HWY   W NEWTON ST,NBI,MBT,42,20,48,71,4,36,16,2,24209,1997,16.8,4,112.5,24.4,7,False,0,0,0,False,Boston,MAPC
370,B16506,9RR,True,0.9958,OTHER RELIEF,I  93 RAMP KK,NBI,DOT,42,20,51.97,71,3,34.9,17,1,12000,2011,9,0,23.3,9.8,6,False,0,0,0,False,Boston,MAPC
371,B16508,9RQ,True,1,OTHER RELIEF,I  93 RAMP AS,NBI,DOT,42,20,39.7,71,3,42.4,11,1,16422,2009,6.7,0,33.9,7.9,7,False,0,0,0,False,Boston,MAPC
