OBJECTID,BDEPT,BIN,AllBridges_2015April_FHWA_Record,AllBridges_2015April_Health_Index,Item___6A,Item___7,Item___8_Bridge_Cat,Item___8_Owner,AllBridges_2015April_Item__16A,AllBridges_2015April_Item__16B,AllBridges_2015April_Item__16C,AllBridges_2015April_Item__17A,AllBridges_2015April_Item__17B,AllBridges_2015April_Item__17C,AllBridges_2015April_Item__26,AllBridges_2015April_Item__28A,AllBridges_2015April_Item__29,AllBridges_2015April_Item__30,AllBridges_2015April_Item__32,AllBridges_2015April_Item__34,AllBridges_2015April_Item__49,AllBridges_2015April_Item__52,AllBridges_2015April_Item__58,AllBridges_2015April_Item_104,AllBridges_2015April_Posting_2_Axle,AllBridges_2015April_Posting_3_Axle,AllBridges_2015April_Posting_5_Axle,AllBridges_2015April_Struct_Def,AllBridges_2015April_Town_Name,AllBridges_2015April_RPA
357,M12035,2HJ,True,0.7446,ST 28 FELLSWAY WST,I  93 SB,NBI,DOT,42,26,53.6459,71,6,17.6976,11,5,169000,2010,23.5,43,27.1,25,6,True,0,0,0,False,Medford,MAPC
358,R03011,2HK,True,0.5661,I  95 /ST128,I  93,NBI,DOT,42,30,8,71,7,8,11,8,169800,2013,41.5,29,75.6,52.5,5,True,0,0,0,False,Reading,MAPC
359,R03010,2HL,True,0.728,HWY   WEST ST,I  93,NBI,DOT,42,30,32.4108,71,7,24.8052,11,8,157000,2012,42.7,21,48.2,47.2,7,True,0,0,0,False,Reading,MAPC
360,S27004,2HM,True,0.6237,RR    BMRR SPUR (ABAND),I  93,NBI,DOT,42,28,36.6,71,6,45.6,11,8,171000,2011,45.7,0,9.4,49.7,5,True,0,0,0,False,Stoneham,MAPC
361,S27007,2HN,True,0.8946,HWY   BORDER RD ACCESS,I  93,NBI,DOT,42,28,9.6599,71,6,26.5284,11,8,183780,2012,18.9,0,39,50.6,5,True,0,0,0,False,Stoneham,MAPC
362,W38028,2HR,True,0.4584,RR    MBTA/BMRR,I  93 NB,NBI,DOT,42,32,28.2659,71,8,5.3592,11,5,67100,2014,20.1,30,29,22.6,5,True,0,0,0,False,Wilmington,MAPC
363,W38028,2HT,True,0.4676,RR    MBTA/BMRR,I  93 SB,NBI,DOT,42,32,29.9399,71,8,6.8459,11,4,67100,2014,20.1,30,28,22.6,5,True,0,0,0,False,Wilmington,MAPC
364,W38026,2HU,True,0.6458,WATER IPSWICH RIVER,I  93 NB,NBI,DOT,42,33,9.7812,71,8,15.4032,11,4,67073,2014,18.9,24,12.5,24.4,5,True,0,0,0,False,Wilmington,MAPC
365,W38026,2HV,True,0.6713,WATER IPSWICH RIVER,I  93 SB,NBI,DOT,42,33,9.9216,71,8,16.5624,11,4,67073,2014,18.9,24,12.5,24.4,6,True,0,0,0,False,Wilmington,MAPC
366,W38031,2HW,True,0.8674,HWY   CONCORD ST,I  93,NBI,DOT,42,33,30.15,71,8,26.6,11,8,151000,2013,50,31,44.8,52.5,5,True,0,0,0,False,Wilmington,MAPC
367,W38036,2HX,True,0.6482,RR    MBTA/BMRR,I  93 SB,NBI,DOT,42,35,32.7083,71,9,59.2235,11,4,73300,2012,18.9,40,23.2,21.1,5,True,0,0,0,False,Wilmington,MAPC
368,W38037,2HY,True,0.6992,RR    MBTA/BMRR,I  93 NB,NBI,DOT,42,35,36.7188,71,9,58.3739,11,4,73300,2012,18.9,44,21.3,21.1,6,True,0,0,0,False,Wilmington,MAPC
369,W43039,2J0,True,0.8515,RR    BMRR SPUR (ABAND),I  93 NB OFF RMP,NBI,DOT,42,28,43.61,71,6,48.58,12,2,20500,2015,7.6,15,8.7,18.3,5,True,0,0,0,False,Woburn,MAPC
370,W43037,2J1,True,0.5953,RR    BMRR SPUR (ABAND),I  93,NBI,DOT,42,28,43.43,71,6,50.57,11,8,168300,2015,55.9,24,10.8,48.6,6,True,0,0,0,False,Woburn,MAPC
371,W43040,2J2,True,0.6321,RR    BMRR SPUR (ABAND),I  93 SB ON RAMP,NBI,DOT,42,28,43.05,71,6,51.75,12,1,14500,2015,6.7,29,10.8,9.8,5,True,0,0,0,False,Woburn,MAPC
372,W43036,2J3,True,0.6892,HWY   MONTVALE AVE,I  93,NBI,DOT,42,28,47.9783,71,6,53.7515,12,8,170000,2010,39.6,20,54.9,51.6,6,True,0,0,0,False,Woburn,MAPC
373,Q01046,2J8,True,0.8265,ST 28 RANDOLPH RD,I  93 SB/US1SB,NBI,DOT,42,12,21.1176,71,3,55.656,12,5,96213,2014,19.8,14,52.7,22,6,True,0,0,0,True,Quincy,MAPC
374,L10017,2LX,True,0.7678,ST  2,HWY   SPRING ST,NBI,DOT,42,25,26.1803,71,15,3.4596,16,2,15400,2011,12.2,16,68,15,7,False,0,0,0,False,Lexington,MAPC
375,S27008,2M5,True,0.4431,I  93,HWY   MARBLE ST,NBI,DOT,42,28,24.06,71,6,36.7,16,2,15100,2015,16.5,23,56.1,16.8,4,False,0,0,0,True,Stoneham,MAPC
376,C19002,2JW,True,0.6708,WATER SUDBURY RIVER,HWY   ELM ST,NBI,DOT,42,27,34.3368,71,21,58.8779,16,2,12850,2014,8.5,0,25.6,9.4,N,False,0,0,0,True,Concord,MAPC
377,L10010,2JX,True,0.7069,I  95 /ST128,ST  2 A/MARRETT RD,NBI,DOT,42,26,35.394,71,15,26.298,16,4,22400,2013,21.9,6,81.4,26.8,4,True,0,0,0,True,Lexington,MAPC
378,W29015,2K0,True,0.8712,I  95 /ST128,ST 30 SOUTH AVE,NBI,DOT,42,20,37.7808,71,15,47.1852,14,4,31600,2013,18.9,9,82.3,26.5,5,True,0,0,0,False,Weston,MAPC
379,N12010,2K1,True,0.7066,WATER CHARLES  RIVER,ST 30 SOUTH AVE,NBI,DOT,42,20,38.5079,71,15,40.8707,14,4,32600,2013,10.4,0,42.1,28.3,5,True,0,0,0,False,Newton,MAPC
380,W04028,2K3,True,0.7283,I  95 /ST128,RT117 MAIN ST,NBI,DOT,42,22,36.1307,71,15,59.5656,16,4,41400,2013,14.6,20,66.4,18.5,5,False,0,0,0,False,Waltham,MAPC
381,B04002,2K4,True,0.597,WATER CONCORD RIVER,ST225 BEDFORD RD,NBI,DOT,42,30,32.6879,71,18,50.6591,16,2,9828,2011,9.1,0,57.9,11.8,5,False,17,20,36,False,Bedford,MAPC
382,B04001,2K5,True,0.4054,WATER SHAWSHEEN RIVER,ST 4  GREAT RD,NBI,DOT,42,29,10.5899,71,15,42.2495,19,2,29100,2014,11,0,10.4,14.3,5,False,13,17,25,False,Bedford,MAPC
383,L10020,2KA,True,0.6859,ST  2,HWY   WATERTOWN ST,NBI,DOT,42,25,3.036,71,12,17.4563,16,2,13700,2014,13.4,30,64.6,16.3,5,True,0,0,0,False,Lexington,MAPC
384,L10014,2KB,True,0.6728,I  95 /ST128,ST  4 BEDFORD ST,NBI,DOT,42,28,13.2852,71,14,42.162,14,4,51200,2012,21.9,32,71,27,5,True,0,0,0,False,Lexington,MAPC
385,C19011,2KC,True,0.5139,WATER CONCORD RIVER,HWY   LOWELL RD,NBI,DOT,42,27,59.75,71,21,20.25,16,2,12500,2015,13.4,0,28.3,16.4,7,False,0,0,0,True,Concord,MAPC
386,W04002,2KG,True,0.671,WATER CHARLES RIVER,HWY   NEWTON ST,NBI,DOT,42,22,21.2,71,13,43.55,16,2,5950,2013,8.2,0,27.4,12.6,N,False,0,0,0,False,Waltham,MAPC
387,W43041,2KH,True,0.759,WATER ABERJONA RIVER,HWY   MONTVALE AVE,NBI,DOT,42,28,46.75,71,7,4.92,12,4,13700,2015,19.2,0,8.5,23.9,7,True,0,0,0,False,Woburn,MAPC
388,C19004,2KJ,True,0.4568,WATER SUDBURY RIVER,ST 62 /ST2A/MAIN,NBI,DOT,42,27,28.9296,71,21,58.248,14,2,16300,2014,9.1,2,21.9,9.9,N,True,7,11,17,False,Concord,MAPC
389,C19010,2KK,True,0.8614,WATER ASSABET RIVER,ST 62 MAIN ST,NBI,DOT,42,27,22.8996,71,23,23.6399,14,2,13900,2014,7.3,12,17.4,10.9,N,True,0,0,0,False,Concord,MAPC
390,C19009,2KL,True,0.682,WATER POWER CANAL,ST 62 MAIN ST,NBI,DOT,42,27,10.2,71,24,33.45,14,2,14350,2015,9.8,7,7,18.8,N,True,0,0,0,False,Concord,MAPC
391,C19009,2KM,True,0.9906,WATER ASSABET RIVER,ST 62 MAIN ST,NBI,DOT,42,27,10.1807,71,24,33.4115,14,2,24500,2014,9.8,0,26.5,12.3,7,True,0,0,0,False,Concord,MAPC
392,C19008,2KN,True,0.9374,WATER ASSABET RIVER,ST 62 MAIN ST,NBI,DOT,42,26,31.4339,71,25,34.9104,14,2,13900,2014,12.2,10,24.4,15,5,True,0,0,0,False,Concord,MAPC
393,N18006,2KP,True,0.7361,WATER IPSWICH RIVER,ST 62 WASHNGTON ST,NBI,DOT,42,34,35.65,71,4,10.75,16,2,11800,2013,9.1,0,13.1,12.6,6,False,0,0,0,False,North Reading,MAPC
394,W38033,2KQ,True,0.7327,I  93,ST 62 MIDDLESEX AV,NBI,DOT,42,34,37.74,71,9,7.7975,16,2,19700,2014,13.7,18,76.2,16.4,6,False,0,0,0,False,Wilmington,MAPC
395,R03002,2KU,True,0.8332,RR    MBTA/BMRR,ST129 LOWELL ST,NBI,DOT,42,32,10.2227,71,7,49.5623,14,2,28448,2015,13.4,50,36.6,16.2,5,True,0,0,0,False,Reading,MAPC
396,W38029,2KV,True,0.7096,I  93,ST129 LOWELL ST,NBI,DOT,42,32,14.5,71,8,6.5,14,2,22000,2014,13.4,23,79.2,16.4,4,True,20,25,40,True,Wilmington,MAPC
397,W38005,2KW,True,0.7284,RR    MBTA/BMRR,RT129 RICHMOND RD,NBI,DOT,42,33,24.8939,71,11,8.4839,16,2,23000,2012,13.4,15,27.7,17.3,7,False,0,0,0,False,Wilmington,MAPC
398,W38038,2KX,True,0.669999961,WATER MIDDLESEX CANAL,ST129 RICHMOND RD,NBI,DOT,42,33,24.9335,71,11,8.4371,16,2,20000,2013,13.4,10,9.3,0,N,False,0,0,0,False,Wilmington,MAPC
399,B16177,2KY,True,1,WATER CHARLES RIVER,ST109 SPRING ST,NBI,DOT,42,16,15.0779,71,10,24.0203,14,3,38400,2014,12,0,38.1,17.5,N,True,0,0,0,False,Boston,MAPC
400,N18008,2L0,True,0.8401,WATER IPSWICH RIVER,ST 28 MAIN ST,NBI,DOT,42,33,52.32,71,6,28,14,4,27900,2013,15.2,15,18.6,20.1,5,True,0,0,0,False,North Reading,MAPC
401,N18010,2L1,True,0.6758,WATER MARTINS BROOK,ST 28 MAIN ST,NBI,DOT,42,34,29.85,71,6,38.45,14,4,29600,2011,15.2,0,6.4,20.1,7,True,0,0,0,False,North Reading,MAPC
402,S27006,2L2,True,0.7521,I  93,ST 28 FELLSWAY W,NBI,DOT,42,27,33.5052,71,6,7.5779,16,2,31300,2014,12.2,34,124.1,15.8,5,True,0,0,0,True,Stoneham,MAPC
403,B16276,2L3,True,0.8701,WATER FORT POINT CHANNEL,HWY   W FOURTH ST,NBI,DOT,42,20,33.4319,71,3,39.7547,14,4,18600,2013,13.4,0,12.5,19.5,N,True,0,0,0,False,Boston,MAPC
404,W10003,2L8,True,0.6497,WATER CHARLES RIVER,ST 16 GALEN ST,NBI,DOT,42,21,53.3987,71,11,8.3399,14,5,43700,2013,18.3,0,27.4,24.7,N,True,0,0,0,False,Watertown,MAPC
405,N12007,2L9,True,0.6605,WATER CHARLES RIVER,ST 16 WASHNGTON ST,NBI,DOT,42,19,31.0691,71,15,30.6144,14,4,37100,2013,14.6,0,43,19.5,N,True,0,0,0,True,Newton,MAPC
406,N12055,2LA,True,0.5627,I  95 /ST128,ST 16 WASHNGTON ST,NBI,DOT,42,19,41.8764,71,15,6.6707,14,5,67400,2013,22,8,72.8,27.1,8,True,0,0,0,False,Newton,MAPC
407,W43028,2LB,True,0.7361,I  95 /ST128,HWY   WASHNGTON ST,NBI,DOT,42,30,10.35,71,7,35.25,16,2,78800,2013,12.2,2,48.8,16.2,5,False,0,0,0,False,Woburn,MAPC
408,L10012,2LC,True,0.5338,I  95 /ST128,HWY   MASS AVE,NBI,DOT,42,26,49.5491,71,15,20.7179,16,2,11900,2014,9.8,27,75.3,12.4,5,False,0,0,0,False,Lexington,MAPC
409,W04024,2LE,True,0.8814,I  95 /ST128,HWY   TRAPELO RD,NBI,DOT,42,24,55.0476,71,15,26.2512,16,2,27400,2014,14.6,11,65.5,19.8,5,False,0,0,0,False,Waltham,MAPC
410,W29017,2LF,True,0.3103,I  95 /ST128,HWY   RIVER RD,NBI,DOT,42,21,6.4116,71,15,52.6319,16,2,17500,2013,12.2,38,79.9,15.3,5,False,0,0,0,False,Weston,MAPC
411,N12053,2LG,True,0.4978,ST  9 BOYLSTON ST,HWY   PARKER ST,NBI,DOT,42,19,8.4648,71,11,39.8004,16,2,23800,2013,12.2,6,21,18.3,5,False,0,0,0,False,Newton,MAPC
412,N12058,2LH,True,1,WATER CHARLES RIVER,ST128 SERVICE RD,NBI,DOT,42,20,12.0876,71,15,31.2335,11,3,44900,2013,20.7,0,62.8,30.7,8,True,0,0,0,False,Newton,MAPC
413,P03051,2LJ,True,0.9461,I  95 /ST128,HWY   FARM AVENUE,NBI,DOT,42,31,24.0527,70,58,54.084,19,2,4200,2014,13.7,0,87.8,17.4,5,False,0,0,0,False,Peabody,MAPC
414,A10020,2LK,True,0.7604,ST  2,HWY   PARK AVE,NBI,DOT,42,24,39.2399,71,10,53.9256,16,2,19500,2014,18.9,12,53.9,23.4,5,False,0,0,0,False,Arlington,MAPC
415,L10015,2LW,True,0.6903,I  95 /ST128,HWY   GROVE ST,NBI,DOT,42,28,23.232,71,14,16.0008,16,2,154500,2013,9.8,32,74.7,13.7,6,False,0,0,0,True,Lexington,MAPC
416,W29014,2M8,True,0.9667,ST128 SERVICE RD,HWY   RECREATN RD,NBI,DOT,42,20,19.4244,71,15,31.968,19,2,1700,2013,12.2,18,50.6,15.8,6,False,0,0,0,False,Weston,MAPC
417,W29032,2MA,True,0.9815,OTHER MDC AQUEDUCT,I  90 EB OFF RAMP,NBI,DOT,42,20,31.9272,71,15,44.172,11,2,25100,2013,8.8,34,8.5,41.5,5,True,0,0,0,False,Weston,MAPC
418,W38030,2MB,True,0.8647,I  93,HWY   WEST ST,NBI,DOT,42,31,59.8044,71,8,8.2391,16,2,5142,2014,12.2,35,90.2,15.1,7,False,0,0,0,False,Wilmington,MAPC
419,W38032,2MC,True,0.7416,I  93,HWY   WOBURN ST,NBI,DOT,42,34,9.51,71,8,48.57,19,2,5600,2015,12.2,9,52.4,15.2,6,False,0,0,0,False,Wilmington,MAPC
420,W43025,2MD,True,0.7157,I  95 /ST128,HWY   MISHAWUM RD,NBI,DOT,42,30,4.95,71,8,31.9,17,2,13700,2015,9.8,27,69.5,12.4,5,False,0,0,0,False,Woburn,MAPC
421,W43035,2ME,True,0.5428,I  93,HWY   SALEM ST,NBI,DOT,42,29,26.95,71,7,4.05,16,2,15400,2013,12.2,45,71.6,15.1,5,False,0,0,0,False,Woburn,MAPC
422,W01021,2MF,True,0.7533,I  95 /ST128,HWY   HOPKINS ST,NBI,DOT,42,30,17.9243,71,5,53.4012,16,2,2500,2013,10.4,14,51.5,13,4,False,0,0,0,True,Wakefield,MAPC
423,N12056,2MG,True,0.7299,I  95 /ST128,HWY   GROVE ST,NBI,DOT,42,19,57.396,71,15,19.242,16,2,12400,2013,14,4,71,17.7,7,True,0,0,0,False,Newton,MAPC
424,W13015,2MH,True,1,ST  9 WORCESTER ST,HWY   CEDAR ST,NBI,DOT,42,18,56.3723,71,14,47.9075,16,2,19700,2013,12.2,7,25.3,16.3,8,False,0,0,0,False,Wellesley,MAPC
425,W13017,2MJ,True,0.8111,RR    CSX/MBTA,HWY   CLIFF RD,NBI,DOT,42,18,40.7267,71,16,35.9976,17,2,14600,2014,11,42,32.9,16,6,False,0,0,0,False,Wellesley,MAPC
426,M25028,2MK,True,0.9705,I  93 /US1,HWY   PONKAPOAG TR,NBI,DOT,42,12,10.9656,71,5,46.4676,16,2,2300,2013,12.8,43,92.3,15.4,8,False,0,0,0,False,Milton,MAPC
427,A10001,2ML,True,0.8458,COMB  MINUTMN BP & BROOK,HWY   PARK AVE,634,DOT,42,25,31.116,71,10,57.5328,16,2,8660,2011,9.1,30,12.1,13,7,False,0,0,0,False,Arlington,MAPC
428,A10004,2MM,True,0.8153,OTHER MINUTMN BP & BROOK,HWY   LOWELL ST,634,DOT,42,25,31.97,71,10,50.56,17,2,6000,2013,9.2,52,17,11.7,7,False,0,0,0,False,Arlington,MAPC
429,B07006,2MN,True,0.6467,RR    MBTA/BMRR,HWY   LEXINGTON ST,634,DOT,42,23,14.6219,71,11,28.2624,17,4,11140,2014,17.1,10,17.4,23.5,5,False,0,0,0,False,Belmont,MAPC
430,B07004,2MP,True,0.648,RR    MBTA/BMRR,HWY   TRAPELO RD,634,DOT,42,23,15.864,71,11,25.8467,14,4,18000,2014,17.1,50,21,23.2,5,True,0,0,0,False,Belmont,MAPC
431,C19014,2N0,True,0.7459,RR    MBTA/BMRR,HWY   OLD STOW RD,634,DOT,42,27,18.8531,71,24,33.498,19,2,860,2014,7,10,28.7,7.7,6,False,0,0,0,False,Concord,MAPC
432,L10001,2N1,True,0.9274,OTHER MINUTEMAN BIKE PTH,ST  2 A/MAPLE ST,634,DOT,42,26,8.5163,71,12,32.2883,16,2,11500,2011,8.5,2,16.5,11.1,7,False,0,0,0,False,Lexington,MAPC
433,L12002,2N2,True,0.6812,RR    MBTA/BMRR,ST126 CONCORD RD,634,DOT,42,25,41.5,71,20,10.75,14,2,6900,2015,9.1,51,54.6,12.1,4,True,0,0,0,True,Lincoln,MAPC
434,W04015,2NH,True,0.7677,RR    MBTA/BMRR,US 20 MAIN ST,634,DOT,42,22,40.2924,71,13,25.1256,14,4,27600,2014,9.8,32,71.3,25.9,5,True,20,25,36,False,Waltham,MAPC
435,W04010,2NJ,True,0.6737,RR    MBTA/BMRR,HWY   NEWTON ST,634,DOT,42,22,32.3219,71,13,43.3848,16,2,7000,2014,9.8,28,9.1,13.6,7,False,17,23,34,False,Waltham,MAPC
436,W04011,2NK,True,0.7233,RR    MBTA/BMRR,HWY   JACKSON ST,634,DOT,42,22,30.3924,71,13,51.9132,19,2,1940,2014,6.4,16,11.3,10.5,6,False,12,16,24,False,Waltham,MAPC
437,W10009,2NL,True,0.964,RR    BMRR,HWY   GROVE ST,634,DOT,42,22,14.0484,71,9,14.9255,19,2,10000,2015,11,5,10.2,15.1,7,False,0,0,0,False,Watertown,MAPC
438,W29001,2NM,True,0.718,RR    MBTA/BMRR,HWY   MERRIAM ST,634,DOT,42,18,40.8491,71,3,11.5487,17,2,2200,2013,7.9,0,22.3,9.8,8,False,6,6,6,False,Weston,MAPC
439,W29003,2NN,True,0.6245,RR    BMRR (ABANDONED),HWY   CHURCH ST,634,DOT,42,22,18.4727,71,17,37.9391,17,2,7100,2013,8.5,29,22.9,13.1,N,False,0,0,0,False,Weston,MAPC
440,W29004,2NP,True,0.538,RR    BMRR  (ABAND0NED),HWY   CONCORD RD,634,DOT,42,22,17.6735,71,18,30.024,17,2,9700,2013,7.9,3,11.3,10.4,N,False,0,0,0,False,Weston,MAPC
441,W38002,2NQ,True,0.6037,RR    MBTA/BMRR,ST 38 MAIN ST,634,DOT,42,32,4.2324,71,9,33.9624,14,2,24600,2014,10.7,0,29.6,13.7,5,True,16,18,25,True,Wilmington,MAPC
442,W38008,2NR,True,0.9815,RR    MBTA/BMRR,HWY   NICHOLS ST,634,DOT,42,34,0.1,71,12,22.3,17,2,2845,2013,9.8,54,18.6,13.7,7,False,0,0,0,False,Wilmington,MAPC
443,W38007,2NT,True,0.7166,RR    MBTA/BMRR,HWY   LAKE ST,634,DOT,42,33,51.8796,71,11,59.3231,17,2,3500,2014,8.5,43,18.9,11.2,7,False,0,0,0,False,Wilmington,MAPC
444,W38004,2NU,True,0.9996,RR    MBTA/BMRR,ST 62 BURLNGTN AVE,634,DOT,42,32,46.4423,71,10,26.3388,16,4,13700,2015,15.2,12,40.4,19.7,7,False,0,0,0,False,Wilmington,MAPC
445,W38003,2NV,True,0.4172,RR    MBTA/BMRR,HWY   BUTTERS ROW,634,DOT,42,32,19.7736,71,9,52.9092,17,1,1700,2014,6.1,10,14.9,4.7,5,False,5,5,5,True,Wilmington,MAPC
446,W38001,2NW,True,1,RR    MBTA/BMRR,HWY   EAMES ST,634,DOT,42,31,47.85,71,9,14.36,16,2,5800,2015,11,10,16.5,13.6,7,False,0,0,0,False,Wilmington,MAPC
447,W43003,2NX,True,0.5613,RR    MBTA/BMRR,HWY   SALEM ST,634,DOT,42,29,19.7376,71,7,58.9872,17,2,25000,2014,11.9,13,45.4,15.7,5,False,16,18,24,False,Woburn,MAPC
448,W43004,2NY,True,0.718,RR    MBTA/BMRR,HWY   MISHAWUM RD,634,DOT,42,30,12.6791,71,8,13.8192,17,2,31000,2012,14.6,45,20.1,19.1,7,False,0,0,0,False,Woburn,MAPC
449,W43002,2P0,True,0.9791,RR    MBTA/BMRR,HWY   MONTVALE AVE,634,DOT,42,28,49.26,71,7,36.4907,14,2,31030,2014,12.2,26,19.5,16.7,7,True,0,0,0,False,Woburn,MAPC
450,W01004,2P2,True,0.9667,RR    MBTA/BMRR,HWY   COOPER ST,634,DOT,42,28,40.05,71,3,55.75,19,2,1700,2013,6.9,0,21.6,9.4,7,False,0,0,0,False,Wakefield,MAPC
451,W13006,2P3,True,0.923,RR    CSX/MBTA,ST  9 WORCESTER ST,634,DOT,42,18,44.0748,71,16,34.6547,14,4,55200,2014,17.4,44,28.3,23.8,7,True,0,0,0,False,Wellesley,MAPC
452,W13008,2P4,True,0.9546,RR    CSX/MBTA,HWY   KINGSBURY ST,634,DOT,42,18,8.7048,71,17,13.4411,16,2,18000,2013,7.3,18,23.2,14.8,8,False,0,0,0,False,Wellesley,MAPC
453,W13010,2P5,True,0.9782,RR    CSX/MBTA,HWY   WESTON RD,634,DOT,42,17,46.6512,71,17,57.7248,16,2,21500,2013,10.4,11,22.3,13.3,8,False,0,0,0,False,Wellesley,MAPC
454,W13009,2P6,True,0.9868,RR    CSX/MBTA,HWY   CREST RD,634,DOT,42,17,49.596,71,17,42.1584,17,2,13400,2014,8.5,10,21,12.1,7,False,0,0,0,False,Wellesley,MAPC
455,W13007,2P7,True,0.9839,RR    CSX/MBTA,HWY   ROCKLAND ST,634,DOT,42,18,30.5208,71,16,43.4495,17,2,15100,2013,9.2,15,20.7,11.8,9,False,0,0,0,False,Wellesley,MAPC
456,W13005,2P8,True,0.9664,RR    CSX/MBTA,HWY   WOODLAWN AVE,634,DOT,42,19,6.4523,71,16,25.9823,19,2,3000,2013,7.3,35,28.1,11.1,7,False,0,0,0,False,Wellesley,MAPC
457,W13004,2P9,True,1,RR    CSX/MBTA,HWY   GLEN RD,634,DOT,42,19,25.0211,71,16,19.146,17,2,6900,2013,8.5,0,18.9,11.1,6,False,0,0,0,False,Wellesley,MAPC
458,P03006,2QC,True,0.3578,RR    MBTA/BMRR,HWY   WARREN ST,634,DOT,42,31,48.2628,70,55,49.2095,17,2,2200,2014,10.7,30,12.2,11.6,6,False,17,23,36,False,Peabody,MAPC
459,P03009,2QD,True,0.2788,RR    MBTA/BMRR,HWY   ENDICOTT ST,634,DOT,42,32,0.4163,70,55,49.2887,17,2,8100,2014,10.4,30,9.1,12.2,6,False,16,21,32,False,Peabody,MAPC
460,S01017,32V,True,0.6704,RR    MBTA (MAIN LINE),ST107 BRIDGE ST,634,DOT,42,31,27.4259,70,53,55.2515,14,2,17500,2011,11.9,10,11,36.1,N,True,0,0,0,False,Salem,MAPC
461,D03002,2PE,True,0.9831,WATER CRANE RIVER,ST 35 WATER ST,NBI,MUN,42,33,8.13,70,55,29.94,16,2,17700,2013,10.4,16,17.1,14.3,7,False,0,0,0,False,Danvers,MAPC
462,D03013,2PF,True,0.6109,WATER WATERS RIVER,ST 35 WATER ST,NBI,MUN,42,32,46.56,70,55,12.82,16,2,22700,2013,14.6,0,15.5,24.9,5,False,0,0,0,True,Danvers,MAPC
463,G05010,2PH,True,0.5305,WATER MARSH CREEK,ST127 A/THATCHER,NBI,MUN,42,37,22.0332,70,38,3.3575,16,2,11380,2013,7,0,10.1,7.7,6,False,0,0,0,False,Gloucester,MAPC
464,H03003,2PJ,True,0.7718,WATER IPSWICH RIVER,HWY   HIGHLAND ST,NBI,MUN,42,39,29.89,70,51,43.01,16,2,3400,2013,7,0,32,10.7,N,False,0,0,0,False,Hamilton,MAPC
465,I01005,2PM,True,0.9732,WATER IPSWICH RIVER,HWY   COUNTY RD,NBI,MUN,42,40,43.1652,70,50,6.8424,16,2,5150,2014,7.6,0,7.9,10.4,N,False,0,0,0,False,Ipswich,MAPC
466,I01005,2PN,True,0.6585,WATER IPSWICH RIVER,HWY   COUNTY RD,NBI,MUN,42,40,43.8671,70,50,6.8388,16,2,5150,2014,7.9,0,20.7,10,N,False,0,0,0,False,Ipswich,MAPC
467,I01011,2PP,True,0.9419,WATER FOX CREEK CANAL,HWY   ARGILLA RD,NBI,MUN,42,40,34.068,70,47,7.8467,7,2,1700,2013,7.9,0,11.3,10.5,7,False,0,0,0,False,Ipswich,MAPC
468,I01002,2PQ,True,0.7554,WATER IPSWICH RIVER,ST  1 A/S MAIN ST,NBI,MUN,42,40,46.1208,70,50,13.6175,14,2,26800,2011,8.8,0,21.9,11.2,N,True,0,0,0,False,Ipswich,MAPC
469,M04001,2Q6,True,0.7132,RR    BMRR (ABANDONED),HWY   VILLAGE ST,NBI,MUN,42,30,2.0952,70,51,44.91,16,2,5150,2014,14.6,38,16.8,13.1,5,False,12,14,21,False,Marblehead,MAPC
470,M20001,2QA,True,1,WATER IPSWICH RIVER,HWY   EAST ST,NBI,MUN,42,37,10.5636,70,59,17.7108,7,2,11250,2014,8.2,0,13.1,13.2,6,False,0,0,0,False,Middleton,MAPC
471,S01004,2QE,True,0.9688,WATER SOUTH RIVER,HWY   CONGRESS ST,NBI,MUN,42,31,9.7067,70,53,23.0783,17,2,9050,2014,13.1,23,41.1,19.9,7,False,0,0,0,False,Salem,MAPC
472,S01006,2QF,True,0.7365,RR    MBTA/BMRR,HWY   JEFFRSON  AV,NBI,MUN,42,30,13.2047,70,54,2.1167,16,2,16200,2013,14.3,30,23.2,18.5,6,False,0,0,0,False,Salem,MAPC
473,S01003,2QG,True,0.6571,WATER NORTH RIVER,HWY   GROVE ST,NBI,MUN,42,31,17.07,70,54,37.39,17,2,9850,2013,11,11,8.2,17.9,N,False,0,0,0,False,Salem,MAPC
474,S01024,2QH,True,0.7001,HWY   PARALLEL ST,HWY   JEFFRSON  AV,NBI,MUN,42,30,11.28,70,54,0.35,16,2,13200,2012,14,30,7.6,18.1,6,False,0,0,0,True,Salem,MAPC
475,S05014,2QP,True,1,WATER SAUGUS RIVER,HWY   HAMILTON ST,NBI,MUN,42,27,56.3112,71,0,15.5483,16,2,5700,2013,7.3,22,12.8,11.3,7,False,0,0,0,False,Saugus,MAPC
476,S05004,2QQ,True,0.9529,WATER SAUGUS RIVER,HWY   CENTRAL ST,NBI,MUN,42,28,23.35,71,0,26.75,17,2,7700,2015,9.1,14,12.2,13,5,False,0,0,0,False,Saugus,MAPC
477,H03002,2R5,True,0.9074,WATER IPSWICH RIVER,HWY   WINTHROP ST,NBI,MUN,42,39,31.6,70,53,26.13,19,2,500,2013,4.9,30,19.2,7,6,False,16,23,33,False,Hamilton,MAPC
478,I01001,2R6,True,0.7951,WATER IPSWICH RIVER,HWY   GREEN ST,NBI,MUN,42,40,47.58,70,49,52.57,19,2,3400,2013,9.8,0,31.1,10.9,N,False,0,0,0,False,Ipswich,MAPC
